PID	Street Address	MBLU	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Ass. Imp	Prev. Ass. Land	Prev. Ass. Tot	Prev. App. Imp	Prev. App. Land	Prev. App. Tot	
150	44 HIGH ST (FIRE STATION)	201/  103/  /  / 	 	$580,900	$580,900	1.28	9032	FIRE	LCD	1	2021	$410,700	$170,200	$580,900	$0				$124,300	$129,200	$253,500	$124,300	$129,200	$253,500	20:05:53	16
151	40 HIGH ST	201/  104/  /  / 	  4419/0497	$218,500	$218,500	10	3900	DEVEL LAND	LCD	1	2021	$0	$218,500	$218,500	$200,000	03/04/2019	$4,286	05/31/1991	$0	$137,300	$137,300	$0	$137,300	$137,300	20:05:54	17
153	36 HIGH ST	201/  106/  /  / 	  1970/0315	$260,700	$260,700	0.66	1010	SINGLE FAM MDL01	LCD	1	2021	$149,400	$111,300	$260,700	$115,048	06/01/1992			$138,400	$90,300	$228,700	$138,400	$90,300	$228,700	20:05:55	18
154	32 HIGH ST	201/  107/  /  / 	  3080/0109	$164,900	$164,900	0.52	1010	SINGLE FAM MDL01	LCD	1	2021	$82,500	$82,400	$164,900	$0	11/18/2004	$75,000	11/10/1998	$66,800	$72,000	$138,800	$66,800	$72,000	$138,800	20:05:56	19
159	30 HIGH ST	201/  109/  1000/  / 	  0841/0392	$187,300	$187,300	1.96	9010	STATE NH	LCD	1	2021	$21,200	$166,100	$187,300	$0	06/02/1955			$17,900	$127,200	$145,100	$17,900	$127,200	$145,100	20:05:57	20
161	24 HIGH ST (HIGHWAY GARAGE)	201/  110/  1000/  / 	002888/0819	$781,700	$781,700	3.47	903I	MUNICPAL  MDL-96	LCD	1	2021	$562,100	$219,600	$781,700	$0	09/10/2003			$592,300	$158,900	$751,200	$592,300	$158,900	$751,200	20:05:58	21
162	18 HIGH ST	201/  111/  /  / 	  2264/0263	$292,200	$292,200	1.8	1010	SINGLE FAM MDL01	LCD	1	2021	$165,400	$126,800	$292,200	$125,000	08/05/1997			$165,400	$97,100	$262,500	$165,400	$97,100	$262,500	20:05:59	22
163	14 HIGH ST	201/  112/  /  / 	  2258/0725	$428,500	$428,500	0.76	1090	MULTI HSES	LCD	2	2021	$269,600	$158,900	$428,500	$111,000	06/27/1997	$4,000	01/22/1988	$298,800	$97,300	$396,100	$298,800	$97,300	$396,100	20:05:59	23
164	8 HIGH ST	201/  113/  /  / 	  3957/0001	$144,500	$144,500	0.58	1010	SINGLE FAM MDL01	LCD	1	2021	$46,200	$98,300	$144,500	$0	02/20/2013	$100,000	04/06/2007	$38,900	$83,100	$122,000	$38,900	$83,100	$122,000	20:06:00	24
167	4 CREAMERY LN	201/  117/  /  / 	  2249/0467	$513,300	$513,300	1.53	0101	Single Fam	LCD	2	2021	$289,300	$224,000	$513,300	$0	12/02/1996	$138,500	09/22/1995	$279,800	$110,300	$390,100	$279,800	$110,300	$390,100	20:06:01	25
168	13 CREAMERY LN	201/  118/  /  / 	  4111/0827	$304,100	$304,100	1.5	1010	SINGLE FAM MDL01	LCD	1	2021	$174,500	$129,600	$304,100	$0	02/23/2015	$4,000	03/23/1988	$146,700	$98,800	$245,500	$146,700	$98,800	$245,500	20:06:02	26
170	1 HIGH ST	201/  120/  /  / 	  3546/0936	$1,492,300	$1,492,300	3.11	903R	MUNICIPAL MDL-01	LCD	2	2021	$1,225,500	$266,800	$1,492,300	$0	09/02/2008			$1,095,300	$204,200	$1,299,500	$1,095,300	$204,200	$1,299,500	20:06:03	27
172	10 SPRING HILL LN	201/  123/  /  / 	  2253/ 229	$300	$161,400	7.68	6335	OTUNR-5	LCD	1	2021	$0	$161,400	$161,400	$835,000	05/30/1997	$10,000	01/31/1997	$0	$300	$300	$0	$119,400	$119,400	20:06:04	28
173	6 SPRING HILL LN	201/  124/  /  / 	  3408/0510	$619,200	$619,200	1.5	1010	SINGLE FAM MDL01		1	2021	$465,200	$154,000	$619,200	$500,000	05/18/2007	$390,000	07/31/2003	$361,400	$117,800	$479,200	$361,400	$117,800	$479,200	20:06:05	29
174	13 HIGH ST	201/  125/  /  / 	  3993/0932	$284,500	$284,500	1.56	1010	SINGLE FAM MDL01	LCD	1	2021	$152,300	$132,200	$284,500	$255,000	07/09/2013			$136,900	$100,500	$237,400	$136,900	$100,500	$237,400	20:06:06	30
176	15 HIGH ST	201/  126/  /  / 	  1413/0147	$294,500	$294,500	1.66	1010	SINGLE FAM MDL01	LCD	1	2021	$156,600	$137,900	$294,500	$4,000	12/23/1980			$116,500	$105,000	$221,500	$116,500	$105,000	$221,500	20:06:06	31
100021	288 ORFORD RD	406/  22/  2000/  / 	  4349/0226	$1,359,700	$1,649,100	158.82	1010	SINGLE FAM MDL01	RD	1	2021	$1,128,800	$520,300	$1,649,100	$0	03/21/2018	$1,200,000	11/01/2016	$1,046,600	$280,100	$1,326,700	$1,046,600	$542,000	$1,588,600	20:06:07	32
177	19 HIGH ST	201/  127/  /  / 	  4181/ 634	$214,900	$214,900	1.3	1010	SINGLE FAM MDL01	LCD	1	2021	$85,100	$129,800	$214,900	$175,000	01/05/2016			$92,300	$88,300	$180,600	$92,300	$88,300	$180,600	20:06:08	33
178	27 HIGH ST	201/  128/  1000/  / 	  2197/0241	$358,400	$358,400	2.17	1010	SINGLE FAM MDL01	LCD	1	2021	$231,800	$126,600	$358,400	$165,000	05/17/1996	$85,000	03/31/1989	$205,300	$97,000	$302,300	$205,300	$97,000	$302,300	20:06:09	34
179	35 HIGH ST	201/  129/  /  / 	4130-0104	$287,500	$287,500	1.7	1010	SINGLE FAM MDL01	LCD	1	2021	$149,400	$138,100	$287,500	$249,000	05/26/2015	$240,000	11/22/2004	$140,700	$105,200	$245,900	$140,700	$105,200	$245,900	20:06:10	35
181	31 ROCKY HILL LN	201/  131/  /  / 	  2804/0476	$2,500	$333,600	20	1320	RES ACLNUD	LCD	1	2021	$0	$333,600	$333,600	$0	04/16/2003	$66,000	12/14/1987	$0	$2,400	$2,400	$0	$246,600	$246,600	20:06:11	36
182	12 ROCKY HILL LN	201/  132/  /  / 	  1682/0690	$686,100	$741,100	12.8	1010	SINGLE FAM MDL01	LCD	1	2021	$507,900	$233,200	$741,100	$30,000	07/17/1987			$520,800	$227,800	$748,600	$520,800	$267,400	$788,200	20:06:11	37
183	49 HIGH ST	201/  133/  /  / 	  4581/ 400	$113,900	$113,900	0.95	1060	AC LND IMP	LCD	1	2021	$10,900	$103,000	$113,900	$100,000	12/03/2020	$25,000	11/23/2015	$12,500	$67,000	$79,500	$12,500	$67,000	$79,500	20:06:12	38
249	13 HEWS LN	401/  46/  /  / 	  1988/0756	$300,200	$300,200	2.8	1010	SINGLE FAM MDL01	RD	1	2021	$155,900	$144,300	$300,200	$0	09/15/1992	$15,000	09/22/1988	$167,400	$122,000	$289,400	$167,400	$122,000	$289,400	20:06:13	39
189	76 GOODELL LN	401/  4/  /  / 	  3136/0533	$53,300	$138,100	37	1060	AC LND IMP	RD	1	2021	$8,500	$129,600	$138,100	$0	05/05/2005			$7,800	$35,200	$43,000	$7,800	$111,900	$119,700	20:06:14	40
190	54 GOODELL LN	401/  5/  /  / 	  1783/0218	$1,000	$59,200	23.11	6215	HWMR-5	RD	1	2021	$0	$59,200	$59,200	$4,000	12/27/1988			$0	$1,000	$1,000	$0	$52,800	$52,800	20:06:15	41
191	42 GOODELL LN	401/  6/  /  / 	002771/0009	$6,000	$204,100	104.74	6514	FARMR-4	RD	1	2021	$0	$204,100	$204,100	$0	11/05/2002			$0	$6,000	$6,000	$0	$184,700	$184,700	20:06:16	42
192	68 PRESTON RD	401/  7/  /  / 	  1097/0311	$25,500	$689,600	191.4	6125	WPUN-5	RD	1	2021	$0	$689,600	$689,600	$0	05/01/1990			$0	$25,500	$25,500	$0	$576,600	$576,600	20:06:17	43
195	298 BAKER HILL RD	401/  10/  /  / 	  3547/0074	$519,700	$519,700	5.2	1010	SINGLE FAM MDL01	RD	1	2021	$343,500	$176,200	$519,700	$475,000	09/03/2008	$320,000	09/18/2006	$328,100	$138,000	$466,100	$328,100	$138,000	$466,100	20:06:18	44
197	65 GOODELL LN	401/  12/  /  / 	  1783/0218	$2,500	$166,600	81.63	6213	HWMR-3	RD	1	2021	$0	$166,600	$166,600	$0				$0	$2,500	$2,500	$0	$154,300	$154,300	20:06:19	45
203	102 DARTMOUTH COLLEGE HY	401/  14/  /  / 	  4551/ 229	$357,500	$357,500	0.83	1010	SINGLE FAM MDL01	RD	1	2021	$232,400	$125,100	$357,500	$303,000	08/31/2020	$314,000	12/16/2019	$195,200	$93,600	$288,800	$195,200	$93,600	$288,800	20:06:19	46
204	84 DARTMOUTH COLLEGE HY	401/  15/  /  / 	  3128/0001	$720,800	$880,700	52	1120	APT OVER 8	BD	1	2021	$396,000	$484,700	$880,700	$0	04/14/2005	$110,700	08/30/1977	$256,600	$173,200	$429,800	$256,600	$318,000	$574,600	20:06:20	47
206	60 DARTMOUTH COLLEGE HY	401/  17/  /  / 	  4221/0423	$742,600	$834,600	15.8	1010	SINGLE FAM MDL01	RD	1	2021	$606,800	$227,800	$834,600	$185,000	07/19/2016	$19,500	08/17/2011	$566,800	$103,200	$670,000	$566,800	$186,800	$753,600	20:06:21	48
207	19 GOOSE POND RD	401/  18/  /  / 	  4011/0594	$54,400	$649,200	125.6	1060	AC LND IMP	RD	1	2021	$1,700	$647,500	$649,200	$0	09/16/2013			$1,500	$52,700	$54,200	$1,500	$578,300	$579,800	20:06:22	49
209	51 GOOSE POND RD	401/  20/  /  / 	  3856/0585	$262,300	$262,300	1.5	1010	SINGLE FAM MDL01	RD	1	2021	$119,000	$143,300	$262,300	$0	02/07/2012	$210,000	03/06/2007	$102,800	$99,100	$201,900	$102,800	$99,100	$201,900	20:06:23	50
210	57 GOOSE POND RD	401/  21/  /  / 	  4254/0892	$337,100	$337,100	1.5	1010	SINGLE FAM MDL01	RD	1	2021	$193,800	$143,300	$337,100	$0	12/14/2016			$186,600	$99,100	$285,700	$186,600	$99,100	$285,700	20:06:24	51
100361	137 MUD TURTLE POND RD	406/  26/  /  / 	  3107/0182	$4,200	$83,150	95	6204	HWM-4	RD	1	2021	$0	$83,150	$83,150	$0	02/11/2005			$0	$4,200	$4,200	$0	$83,150	$83,150	20:06:25	52
217	127 GOOSE POND RD	401/  23/  1100/  / 	  4519/ 345	$2,600	$476,800	56.37	6234	HWUNR-4	RD	1	2021	$0	$476,800	$476,800	$496,533	05/14/2020	$310,000	08/13/1989	$0	$2,600	$2,600	$0	$259,100	$259,100	20:06:26	53
219	149 GOOSE POND RD	401/  23/  3000/  / 	  4049/0602	$340,600	$340,600	2.82	1010	SINGLE FAM MDL01	RD	1	2021	$176,100	$164,500	$340,600	$290,000	04/11/2014	$320,533	08/31/2005	$189,400	$99,100	$288,500	$189,400	$99,100	$288,500	20:06:27	54
220	153 GOOSE POND RD	401/  24/  /  / 	  4144/0841	$288,500	$288,500	2	1010	SINGLE FAM MDL01	RD	1	2021	$180,400	$108,100	$288,500	$0	07/08/2015			$140,700	$82,700	$223,400	$140,700	$82,700	$223,400	20:06:27	55
221	157 GOOSE POND RD	401/  25/  /  / 	  3216/0807	$317,500	$317,500	1.7	1010	SINGLE FAM MDL01	RD	1	2021	$221,900	$95,600	$317,500	$267,000	11/07/2005	$65,500	06/05/1995	$173,600	$73,500	$247,100	$173,600	$73,500	$247,100	20:06:28	56
223	32 PELTON LN	401/  27/  /  / 	  3398/0435	$448,800	$498,200	11.67	1040	TWO FAMILY	RD	1	2021	$322,900	$175,300	$498,200	$175,000	04/20/2007	$4,000	06/09/1998	$288,000	$113,500	$401,500	$288,000	$157,200	$445,200	20:06:29	57
225	342 BAKER HILL RD	401/  29/  /  / 	  4642/ 600	$262,700	$262,700	6.1	1030	MOBILE HOM  MDL-02	RD	2	2021	$86,100	$176,600	$262,700	$0	06/22/2021			$73,100	$113,900	$187,000	$73,100	$113,900	$187,000	20:06:30	58
229	320 BAKER HILL RD	401/  30/  1000/  / 	  4086/ 693	$492,300	$492,300	2.6	1010	SINGLE FAM MDL01	RD	1	2021	$312,700	$179,600	$492,300	$400,000	10/03/2014	$376,000	07/08/2011	$290,000	$105,400	$395,400	$290,000	$105,400	$395,400	20:06:31	59
230	330 BAKER HILL RD	401/  30/  2000/  / 	  3943/0927	$2,800	$218,200	29.4	6335	OTUNR-5	RD	1	2021	$0	$218,200	$218,200	$0	12/28/2012			$0	$2,800	$2,800	$0	$175,200	$175,200	20:06:33	60
232	156 GOOSE POND RD	401/  32/  /  / 	  4153/0352	$130,000	$130,000	0.45	1010	SINGLE FAM MDL01	RD	1	2021	$72,200	$57,800	$130,000	$146,000	08/26/2015	$45,000	07/01/2010	$54,200	$52,500	$106,700	$54,200	$52,500	$106,700	20:06:34	61
233	154 GOOSE POND RD	401/  33/  /  / 	  1254/0406	$146,600	$146,600	0.45	1010	SINGLE FAM MDL01	RD	1	2021	$81,500	$65,100	$146,600	$0				$59,900	$59,000	$118,900	$59,900	$59,000	$118,900	20:06:35	62
235	144 GOOSE POND RD	401/  35/  /  / 	  4200/0326	$625,200	$625,200	6.20	1010	SINGLE FAM MDL01		2	2021	$455,900	$169,300	$625,200	$535,000	04/20/2016	$163,048	08/10/1990	$403,100	$107,900	$511,000	$403,100	$107,900	$511,000	20:06:36	63
236	142 GOOSE POND RD	401/  36/  /  / 	  3084/0708	$304,100	$304,100	0.91	1010	SINGLE FAM MDL01	RD	1	2021	$184,400	$119,700	$304,100	$0	12/01/2004	$96,000	12/24/1990	$152,400	$67,800	$220,200	$152,400	$67,800	$220,200	20:06:37	64
100041	198 BAKER HILL RD	410/  9/  2000/  / 	  4040/ 020	$8,800	$338,400	37.35	6506	FARM-6	RD	1	2021	$0	$338,400	$338,400	$0	02/10/2014	$112,942	11/03/1989	$0	$8,800	$8,800	$0	$286,400	$286,400	20:06:38	65
237	138 GOOSE POND RD	401/  37/  /  / 	002864/0255	$133,300	$133,300	0.47	1030	MOBILE HOM  MDL-02	RD	1	2021	$45,100	$88,200	$133,300	$74,933	08/01/2003	$17,000	05/25/1979	$39,500	$53,000	$92,500	$39,500	$53,000	$92,500	20:06:39	66
241	72 GOOSE POND RD	401/  39/  /  / 	  4013/0532	$307,200	$863,300	174	1010	SINGLE FAM MDL01	RD	1	2021	$143,900	$719,400	$863,300	$750,000	09/24/2013			$120,900	$116,900	$237,800	$120,900	$621,400	$742,300	20:06:40	67
244	40 GOOSE POND RD	401/  41/  /  / 	   334/0303	$800	$800	0.07	1320	RES ACLNUD		1	2021	$0	$800	$800	$0	10/08/2006			$0	$700	$700	$0	$700	$700	20:06:40	68
245	36 GOOSE POND RD	401/  42/  /  / 	  4468/0924	$308,900	$308,900	0.54	1010	SINGLE FAM MDL01	RD	1	2021	$193,200	$115,700	$308,900	$355,000	09/27/2019	$179,000	05/15/2017	$98,100	$86,300	$184,400	$98,100	$86,300	$184,400	20:06:41	69
246	20 DARTMOUTH COLLEGE HY	401/  43/  /  / 	 	$6,200	$300,300	32.8	6515	FARMR-5	RD	1	2021	$0	$300,300	$300,300	$0	02/18/2002	$2,666	04/27/2001	$0	$6,200	$6,200	$0	$253,600	$253,600	20:06:42	70
247	1 DARTMOUTH COLLEGE HY	401/  44/  /  / 	  1480/0578	$162,600	$162,600	1.1	1090	MULTI HSES	RD	2	2021	$13,400	$149,200	$162,600	$0				$10,400	$92,900	$103,300	$10,400	$92,900	$103,300	20:06:43	71
248	7 HEWS LN	401/  45/  /  / 	  0971/0381	$264,000	$264,000	2.4	1010	SINGLE FAM MDL01	RD	1	2021	$126,300	$137,700	$264,000	$0				$144,000	$105,500	$249,500	$144,000	$105,500	$249,500	20:06:44	72
1	FLOWAGE RIGHTS	100/  1/  /  / 	   001/ 001	$1,254,000	$1,254,000	0	0422	ELEC PLANT		1	2021	$1,254,000	$0	$1,254,000	$0	04/20/2017	$26,278,600	03/31/2005	$1,254,000	$0	$1,254,000	$1,254,000	$0	$1,254,000	20:06:45	73
2	POWER LINES/L-37.62 MI	100/  2/  /  / 	 	$2,861,300	$2,861,300	0.00	0422	ELEC PLANT		1	2021	$2,861,300	$0	$2,861,300	$0				$2,695,800	$0	$2,695,800	$2,695,800	$0	$2,695,800	20:06:47	74
3	POWER LINES	100/  3/  /  / 	002944/0182	$2,527,700	$2,527,700	0	0422	ELEC PLANT		1	2021	$2,527,700	$0	$2,527,700	$1,019,533	01/01/2004			$2,527,700	$0	$2,527,700	$2,527,700	$0	$2,527,700	20:06:47	75
4	POWER LINES	100/  4/  /  / 	 	$500	$500	0.00	0422	ELEC PLANT		1	2021	$500	$0	$500	$0				$500	$0	$500	$500	$0	$500	20:06:48	76
5	58 DORCHESTER RD	201/  1/  /  / 	  4243/0312	$261,300	$261,300	3.9	1010	SINGLE FAM MDL01	LCD	1	2021	$93,700	$167,600	$261,300	$0	10/25/2016	$150,000	01/03/2012	$80,700	$130,200	$210,900	$80,700	$130,200	$210,900	20:06:49	77
7	42 DORCHESTER RD	201/  4/  /  / 	002833/0693	$181,800	$181,800	0.49	1010	SINGLE FAM MDL01	LCD	1	2021	$77,200	$104,600	$181,800	$0	12/16/2002			$62,000	$88,200	$150,200	$62,000	$88,200	$150,200	20:06:50	78
8	40 DORCHESTER RD	201/  5/  /  / 	002833/0693	$254,400	$254,400	0.98	1010	SINGLE FAM MDL01	LCD	1	2021	$114,000	$140,400	$254,400	$0	12/16/2002			$106,600	$101,200	$207,800	$106,600	$101,200	$207,800	20:06:51	79
9	36 DORCHESTER RD	201/  6/  /  / 	  3303/0204	$266,800	$266,800	1.85	1010	SINGLE FAM MDL01	LCD	1	2021	$108,900	$157,900	$266,800	$5,000	07/12/2006			$89,500	$121,300	$210,800	$89,500	$121,300	$210,800	20:06:52	80
10	32 DORCHESTER RD	201/  7/  /  / 	  3307/0544	$417,100	$417,100	2.46	1010	SINGLE FAM MDL01	LCD	1	2021	$254,100	$163,000	$417,100	$240,000	05/31/2006	$5,000	08/07/1953	$254,100	$125,900	$380,000	$254,100	$125,900	$380,000	20:06:53	81
12	22 DORCHESTER RD	201/  9/  /  / 	  4243/0537	$487,000	$487,000	3.11	1010	SINGLE FAM MDL01	LCD	1	2021	$261,800	$225,200	$487,000	$500,000	10/24/2016	$14,000	07/28/2008	$260,800	$171,900	$432,700	$260,800	$171,900	$432,700	20:06:54	82
13	18 DORCHESTER RD	201/  10/  /  / 	  1812/0014	$556,400	$556,400	1.6	1010	SINGLE FAM MDL01	LCD	2	2021	$275,700	$280,700	$556,400	$121,000	07/06/1989			$257,200	$186,800	$444,000	$257,200	$186,800	$444,000	20:06:54	83
16	1 MARKET ST	201/  11/  /  / 	  4094/0467	$1,401,800	$1,401,800	1.4	3020	INNS	LCD	1	2021	$1,016,100	$385,700	$1,401,800	$950,000	11/12/2014	$500,000	09/02/2008	$913,900	$292,700	$1,206,600	$913,900	$292,700	$1,206,600	20:06:56	84
18	7 MARKET ST	201/  12/  1000/  / 	  4538/ 917	$301,600	$301,600	0.37	1010	SINGLE FAM MDL01	LCD	1	2021	$162,500	$139,100	$301,600	$435,000	07/23/2020	$97,000	10/07/1988	$161,500	$138,400	$299,900	$161,500	$138,400	$299,900	20:06:57	85
19	5 MARKET ST	201/  12/  2000/  / 	  4538/ 917	$154,000	$154,000	0.05	1010	SINGLE FAM MDL01	LCD	1	2021	$91,700	$62,300	$154,000	$435,000	07/23/2020	$97,000	10/07/1988	$82,100	$53,500	$135,600	$82,100	$53,500	$135,600	20:06:58	86
20	11 MARKET ST	201/  13/  /  / 	  3651/0625	$615,800	$615,800	1.6	1010	SINGLE FAM MDL01	LCD	1	2021	$381,400	$234,400	$615,800	$0	09/30/2009	$92,000	06/12/1986	$367,500	$206,400	$573,900	$367,500	$206,400	$573,900	20:06:59	87
21	15 MARKET ST	201/  14/  /  / 	  4414/0628	$686,500	$686,500	1.8	1090	MULTI HSES	LCD	2	2021	$398,100	$288,400	$686,500	$0	02/01/2019	$550,000	07/09/2018	$409,800	$203,600	$613,400	$409,800	$203,600	$613,400	20:07:00	88
22	19 MARKET ST	201/  15/  /  / 	  3902/0145	$449,000	$449,000	0.55	1010	SINGLE FAM MDL01	LCD	1	2021	$269,300	$179,700	$449,000	$0	07/25/2012	$362,000	07/03/2012	$211,300	$178,700	$390,000	$211,300	$178,700	$390,000	20:07:01	89
23	25 MARKET ST	201/  16/  /  / 	  1217/0589	$478,700	$478,700	4.31	0101	Single Fam	LCD	1	2021	$233,100	$245,600	$478,700	$42,400	04/11/1974			$227,500	$214,300	$441,800	$227,500	$214,300	$441,800	20:07:01	90
26	26 MARKET ST	201/  19/  /  / 	  4136/0106	$356,400	$356,400	1.1	1010	SINGLE FAM MDL01	LCD	1	2021	$151,100	$205,300	$356,400	$195,000	06/17/2015	$98,000	06/22/1990	$143,500	$150,400	$293,900	$143,500	$150,400	$293,900	20:07:03	91
25	30 MARKET ST	201/  18/  /  / 	  2510/0517	$581,100	$581,100	0.5	1010	SINGLE FAM MDL01	RD	1	2021	$410,600	$170,500	$581,100	$290,000	12/14/2000	$30,000	05/17/1983	$319,400	$149,000	$468,400	$319,400	$149,000	$468,400	20:07:04	92
28	20 MARKET ST	201/  21/  /  / 	  3967/ 527	$536,900	$536,900	3.5	1010	SINGLE FAM MDL01	LCD	1	2021	$292,900	$244,000	$536,900	$0	04/02/2013	$4,000	04/10/1998	$284,900	$215,400	$500,300	$284,900	$215,400	$500,300	20:07:05	93
101602	27 PLEASANT ST	201/  80/  0020/  / 	  3664/0671	$243,200	$243,200	0.00	1020	CONDO	LCD	1	2021	$243,200	$0	$243,200	$140,000	11/19/2009	$65,000	08/04/1999	$217,800	$0	$217,800	$217,800	$0	$217,800	20:07:06	94
101622	3 PRESTON RD	402/  37/  0100/  / 	  4306/0960	$448,700	$508,900	12.52	1010	SINGLE FAM MDL01	RD	1	2021	$334,300	$174,600	$508,900	$110,000	08/25/2017	$125,000	03/13/2006	$139,800	$96,100	$235,900	$139,800	$150,500	$290,300	20:07:07	95
101642	11  PRESTON RD	401/  1/  1000/  / 	  2923/0335	$426,700	$426,700	3.01	1010	SINGLE FAM MDL01	RD	1	2021	$281,900	$144,800	$426,700	$196,000	11/13/2003			$260,900	$111,600	$372,500	$260,900	$111,600	$372,500	20:07:08	96
32	8 MARKET ST	201/  25/  /  / 	  3072/0304	$277,800	$277,800	0.37	1010	SINGLE FAM MDL01	LCD	1	2021	$131,000	$146,800	$277,800	$248,000	10/29/2004	$7,000	07/05/1957	$119,100	$154,700	$273,800	$119,100	$154,700	$273,800	20:07:08	97
570	655 RIVER RD	405/  30/  2000/  / 	  2142/0379	$528,000	$762,400	27.54	1013	SFR WATER  MDL-01	RD	3	2021	$184,400	$578,000	$762,400	$175,000	05/19/1995	$220,000	07/20/1994	$138,500	$281,900	$420,400	$138,500	$487,100	$625,600	20:07:09	98
571	667 RIVER RD	405/  31/  /  / 	  4601/ 158	$349,100	$349,100	3	1010	SINGLE FAM MDL01	RD	1	2021	$169,100	$180,000	$349,100	$260,000	02/08/2021			$120,400	$158,500	$278,900	$120,400	$158,500	$278,900	20:07:10	99
