PID	Street Address	MBLU	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Assess.	Prev. Apprais	
164	8 HIGH ST	201/  113/  /  / 	  3957/0001	$144,500	$144,500	0.58	1010	SINGLE FAM MDL01	LCD	1	2016	$46,200	$98,300	$144,500	$0	02/20/2013	$100,000	04/06/2007	$122,000	$122,000	13:04:24	24
167	4 CREAMERY LN	201/  117/  /  / 	  2249/0467	$513,300	$513,300	1.53	0101	Single Fam	LCD	2	2016	$289,300	$224,000	$513,300	$0	12/02/1996	$138,500	09/22/1995	$390,100	$390,100	13:04:26	25
168	13 CREAMERY LN	201/  118/  /  / 	  4111/0827	$304,100	$304,100	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	$174,500	$129,600	$304,100	$0	02/23/2015	$4,000	03/23/1988	$245,500	$245,500	13:04:30	26
170	1 HIGH ST	201/  120/  /  / 	  3546/0936	$1,492,300	$1,492,300	3.11	903R	MUNICIPAL MDL-01	LCD	2	2016	$1,225,500	$266,800	$1,492,300	$0	09/02/2008			$1,299,500	$1,299,500	13:04:32	27
172	10 SPRING HILL LN	201/  123/  /  / 	  2253/ 229	$300	$161,400	7.68	6335	OTUNR-5	LCD	1	2016	$0	$161,400	$161,400	$835,000	05/30/1997	$10,000	01/31/1997	$300	$119,400	13:04:34	28
173	6 SPRING HILL LN	201/  124/  /  / 	  3408/0510	$619,200	$619,200	1.5	1010	SINGLE FAM MDL01		1	2016	$465,200	$154,000	$619,200	$500,000	05/18/2007	$390,000	07/31/2003	$479,200	$479,200	13:04:35	29
174	13 HIGH ST	201/  125/  /  / 	  3993/0932	$284,500	$284,500	1.56	1010	SINGLE FAM MDL01	LCD	1	2016	$152,300	$132,200	$284,500	$255,000	07/09/2013			$237,400	$237,400	13:04:37	30
176	15 HIGH ST	201/  126/  /  / 	  1413/0147	$294,500	$294,500	1.66	1010	SINGLE FAM MDL01	LCD	1	2016	$156,600	$137,900	$294,500	$4,000	12/23/1980			$221,500	$221,500	13:04:39	31
100021	288 ORFORD RD	406/  22/  2000/  / 	  4349/0226	$1,359,700	$1,649,100	158.82	1010	SINGLE FAM MDL01	RD	1	2016	$1,128,800	$520,300	$1,649,100	$0	03/21/2018	$1,200,000	11/01/2016	$1,326,700	$1,588,600	13:04:41	32
177	19 HIGH ST	201/  127/  /  / 	  4181/ 634	$214,900	$214,900	1.3	1010	SINGLE FAM MDL01	LCD	1	2016	$85,100	$129,800	$214,900	$175,000	01/05/2016			$180,600	$180,600	13:04:45	33
178	27 HIGH ST	201/  128/  1000/  / 	  2197/0241	$358,400	$358,400	2.17	1010	SINGLE FAM MDL01	LCD	1	2016	$231,800	$126,600	$358,400	$165,000	05/17/1996	$85,000	03/31/1989	$302,300	$302,300	13:04:48	34
179	35 HIGH ST	201/  129/  /  / 	4130-0104	$287,500	$287,500	1.7	1010	SINGLE FAM MDL01	LCD	1	2016	$149,400	$138,100	$287,500	$249,000	05/26/2015	$240,000	11/22/2004	$245,900	$245,900	13:04:52	35
181	31 ROCKY HILL LN	201/  131/  /  / 	  2804/0476	$2,500	$333,600	20	1320	RES ACLNUD	LCD	1	2016	$0	$333,600	$333,600	$0	04/16/2003	$66,000	12/14/1987	$2,400	$246,600	13:04:53	36
182	12 ROCKY HILL LN	201/  132/  /  / 	  1682/0690	$686,100	$741,100	12.8	1010	SINGLE FAM MDL01	LCD	1	2016	$507,900	$233,200	$741,100	$30,000	07/17/1987			$748,600	$788,200	13:04:56	37
183	49 HIGH ST	201/  133/  /  / 	  4581/ 400	$113,900	$113,900	0.95	1060	AC LND IMP	LCD	1	2016	$10,900	$103,000	$113,900	$100,000	12/03/2020	$25,000	11/23/2015	$79,500	$79,500	13:04:58	38
249	13 HEWS LN	401/  46/  /  / 	  1988/0756	$300,200	$300,200	2.8	1010	SINGLE FAM MDL01	RD	1	2016	$155,900	$144,300	$300,200	$0	09/15/1992	$15,000	09/22/1988	$289,400	$289,400	13:04:59	39
189	76 GOODELL LN	401/  4/  /  / 	  3136/0533	$53,300	$138,100	37	1060	AC LND IMP	RD	1	2016	$8,500	$129,600	$138,100	$0	05/05/2005			$43,000	$119,700	13:05:01	40
190	54 GOODELL LN	401/  5/  /  / 	  1783/0218	$1,000	$59,200	23.11	6215	HWMR-5	RD	1	2016	$0	$59,200	$59,200	$4,000	12/27/1988			$1,000	$52,800	13:05:05	41
191	42 GOODELL LN	401/  6/  /  / 	002771/0009	$6,000	$204,100	104.74	6514	FARMR-4	RD	1	2016	$0	$204,100	$204,100	$0	11/05/2002			$6,000	$184,700	13:05:06	42
192	68 PRESTON RD	401/  7/  /  / 	  1097/0311	$25,500	$689,600	191.4	6125	WPUN-5	RD	1	2016	$0	$689,600	$689,600	$0	05/01/1990			$25,500	$576,600	13:05:09	43
195	298 BAKER HILL RD	401/  10/  /  / 	  3547/0074	$519,700	$519,700	5.2	1010	SINGLE FAM MDL01	RD	1	2016	$343,500	$176,200	$519,700	$475,000	09/03/2008	$320,000	09/18/2006	$466,100	$466,100	13:05:11	44
197	65 GOODELL LN	401/  12/  /  / 	  1783/0218	$2,500	$166,600	81.63	6213	HWMR-3	RD	1	2016	$0	$166,600	$166,600	$0				$2,500	$154,300	13:05:13	45
203	102 DARTMOUTH COLLEGE HY	401/  14/  /  / 	  4551/ 229	$357,500	$357,500	0.83	1010	SINGLE FAM MDL01	RD	1	2016	$232,400	$125,100	$357,500	$303,000	08/31/2020	$314,000	12/16/2019	$288,800	$288,800	13:05:16	46
204	84 DARTMOUTH COLLEGE HY	401/  15/  /  / 	  3128/0001	$720,800	$880,700	52	1120	APT OVER 8	BD	1	2016	$396,000	$484,700	$880,700	$0	04/14/2005	$110,700	08/30/1977	$429,800	$574,600	13:05:17	47
206	60 DARTMOUTH COLLEGE HY	401/  17/  /  / 	  4221/0423	$742,600	$834,600	15.8	1010	SINGLE FAM MDL01	RD	1	2016	$606,800	$227,800	$834,600	$185,000	07/19/2016	$19,500	08/17/2011	$670,000	$753,600	13:05:20	48
207	19 GOOSE POND RD	401/  18/  /  / 	  4011/0594	$54,400	$649,200	125.6	1060	AC LND IMP	RD	1	2016	$1,700	$647,500	$649,200	$0	09/16/2013			$54,200	$579,800	13:05:24	49
209	51 GOOSE POND RD	401/  20/  /  / 	  3856/0585	$262,300	$262,300	1.5	1010	SINGLE FAM MDL01	RD	1	2016	$119,000	$143,300	$262,300	$0	02/07/2012	$210,000	03/06/2007	$201,900	$201,900	13:05:27	50
210	57 GOOSE POND RD	401/  21/  /  / 	  4254/0892	$337,100	$337,100	1.5	1010	SINGLE FAM MDL01	RD	1	2016	$193,800	$143,300	$337,100	$0	12/14/2016			$285,700	$285,700	13:05:31	51
100361	137 MUD TURTLE POND RD	406/  26/  /  / 	  3107/0182	$4,200	$83,150	95	6204	HWM-4	RD	1	2016	$0	$83,150	$83,150	$0	02/11/2005			$4,200	$83,150	13:05:35	52
217	127 GOOSE POND RD	401/  23/  1100/  / 	  4519/ 345	$2,600	$476,800	56.37	6234	HWUNR-4	RD	1	2016	$0	$476,800	$476,800	$496,533	05/14/2020	$310,000	08/13/1989	$2,600	$259,100	13:05:37	53
219	149 GOOSE POND RD	401/  23/  3000/  / 	  4049/0602	$340,600	$340,600	2.82	1010	SINGLE FAM MDL01	RD	1	2016	$176,100	$164,500	$340,600	$290,000	04/11/2014	$320,533	08/31/2005	$288,500	$288,500	13:05:41	54
220	153 GOOSE POND RD	401/  24/  /  / 	  4144/0841	$288,500	$288,500	2	1010	SINGLE FAM MDL01	RD	1	2016	$180,400	$108,100	$288,500	$0	07/08/2015			$223,400	$223,400	13:05:45	55
221	157 GOOSE POND RD	401/  25/  /  / 	  3216/0807	$317,500	$317,500	1.7	1010	SINGLE FAM MDL01	RD	1	2016	$221,900	$95,600	$317,500	$267,000	11/07/2005	$65,500	06/05/1995	$247,100	$247,100	13:05:47	56
223	32 PELTON LN	401/  27/  /  / 	  3398/0435	$448,800	$498,200	11.67	1040	TWO FAMILY	RD	1	2016	$322,900	$175,300	$498,200	$175,000	04/20/2007	$4,000	06/09/1998	$401,500	$445,200	13:05:50	57
225	342 BAKER HILL RD	401/  29/  /  / 	  4220/0066	$262,700	$262,700	6.1	1030	MOBILE HOM  MDL-02	RD	2	2016	$86,100	$176,600	$262,700	$0	07/15/2016			$187,000	$187,000	13:05:54	58
229	320 BAKER HILL RD	401/  30/  1000/  / 	  4086/ 693	$492,300	$492,300	2.6	1010	SINGLE FAM MDL01	RD	1	2016	$312,700	$179,600	$492,300	$400,000	10/03/2014	$376,000	07/08/2011	$395,400	$395,400	13:05:56	59
230	330 BAKER HILL RD	401/  30/  2000/  / 	  3943/0927	$2,800	$218,200	29.4	6335	OTUNR-5	RD	1	2016	$0	$218,200	$218,200	$0	12/28/2012			$2,800	$175,200	13:05:59	60
232	156 GOOSE POND RD	401/  32/  /  / 	  4153/0352	$130,000	$130,000	0.45	1010	SINGLE FAM MDL01	RD	1	2016	$72,200	$57,800	$130,000	$146,000	08/26/2015	$45,000	07/01/2010	$106,700	$106,700	13:06:02	61
233	154 GOOSE POND RD	401/  33/  /  / 	  1254/0406	$146,600	$146,600	0.45	1010	SINGLE FAM MDL01	RD	1	2016	$81,500	$65,100	$146,600	$0				$118,900	$118,900	13:06:05	62
235	144 GOOSE POND RD	401/  35/  /  / 	  4200/0326	$625,200	$625,200	6.20	1010	SINGLE FAM MDL01		2	2016	$455,900	$169,300	$625,200	$535,000	04/20/2016	$163,048	08/10/1990	$511,000	$511,000	13:06:08	63
236	142 GOOSE POND RD	401/  36/  /  / 	  3084/0708	$304,100	$304,100	0.91	1010	SINGLE FAM MDL01	RD	1	2016	$184,400	$119,700	$304,100	$0	12/01/2004	$96,000	12/24/1990	$220,200	$220,200	13:06:11	64
100041	198 BAKER HILL RD	410/  9/  2000/  / 	  4040/ 020	$8,800	$338,400	37.35	6506	FARM-6	RD	1	2016	$0	$338,400	$338,400	$0	02/10/2014	$112,942	11/03/1989	$8,800	$286,400	13:06:12	65
237	138 GOOSE POND RD	401/  37/  /  / 	002864/0255	$133,300	$133,300	0.47	1030	MOBILE HOM  MDL-02	RD	1	2016	$45,100	$88,200	$133,300	$74,933	08/01/2003	$17,000	05/25/1979	$92,500	$92,500	13:06:16	66
241	72 GOOSE POND RD	401/  39/  /  / 	  4013/0532	$307,200	$863,300	174	1010	SINGLE FAM MDL01	RD	1	2016	$143,900	$719,400	$863,300	$750,000	09/24/2013			$237,800	$742,300	13:06:19	67
244	40 GOOSE POND RD	401/  41/  /  / 	   334/0303	$800	$800	0.07	1320	RES ACLNUD		1	2016	$0	$800	$800	$0	10/08/2006			$700	$700	13:06:22	68
245	36 GOOSE POND RD	401/  42/  /  / 	  4468/0924	$319,600	$319,600	0.54	1010	SINGLE FAM MDL01	RD	1	2016	$203,900	$115,700	$319,600	$355,000	09/27/2019	$179,000	05/15/2017	$184,400	$184,400	13:06:25	69
246	20 DARTMOUTH COLLEGE HY	401/  43/  /  / 	 	$6,200	$300,300	32.8	6515	FARMR-5	RD	1	2016	$0	$300,300	$300,300	$0	02/18/2002	$2,666	04/27/2001	$6,200	$253,600	13:06:29	70
247	1 DARTMOUTH COLLEGE HY	401/  44/  /  / 	  1480/0578	$183,100	$183,100	1.1	1090	MULTI HSES	RD	2	2016	$13,400	$169,700	$183,100	$0				$103,300	$103,300	13:06:32	71
248	7 HEWS LN	401/  45/  /  / 	  0971/0381	$264,000	$264,000	2.4	1010	SINGLE FAM MDL01	RD	1	2016	$126,300	$137,700	$264,000	$0				$249,500	$249,500	13:06:35	72
1	FLOWAGE RIGHTS	100/  1/  /  / 	   001/ 001	$1,254,000	$1,254,000	0	0422	ELEC PLANT		1	2016	$1,254,000	$0	$1,254,000	$0	04/20/2017	$26,278,600	03/31/2005	$1,254,000	$1,254,000	13:06:37	73
2	POWER LINES/L-37.62 MI	100/  2/  /  / 	 	$2,695,800	$2,695,800	0.00	0422	ELEC PLANT		1	2016	$2,695,800	$0	$2,695,800	$0				$2,695,800	$2,695,800	13:06:40	74
3	POWER LINES	100/  3/  /  / 	002944/0182	$2,527,700	$2,527,700	0	0422	ELEC PLANT		1	2016	$2,527,700	$0	$2,527,700	$1,019,533	01/01/2004			$2,527,700	$2,527,700	13:06:43	75
4	POWER LINES	100/  4/  /  / 	 	$500	$500	0.00	0422	ELEC PLANT		1	2016	$500	$0	$500	$0				$500	$500	13:06:46	76
5	58 DORCHESTER RD	201/  1/  /  / 	  4243/0312	$261,300	$261,300	3.9	1010	SINGLE FAM MDL01	LCD	1	2016	$93,700	$167,600	$261,300	$0	10/25/2016	$150,000	01/03/2012	$210,900	$210,900	13:06:50	77
7	42 DORCHESTER RD	201/  4/  /  / 	002833/0693	$181,800	$181,800	0.49	1010	SINGLE FAM MDL01	LCD	1	2016	$77,200	$104,600	$181,800	$0	12/16/2002			$150,200	$150,200	13:06:54	78
8	40 DORCHESTER RD	201/  5/  /  / 	002833/0693	$254,400	$254,400	0.98	1010	SINGLE FAM MDL01	LCD	1	2016	$114,000	$140,400	$254,400	$0	12/16/2002			$207,800	$207,800	13:06:56	79
9	36 DORCHESTER RD	201/  6/  /  / 	  3303/0204	$266,800	$266,800	1.85	1010	SINGLE FAM MDL01	LCD	1	2016	$108,900	$157,900	$266,800	$5,000	07/12/2006			$210,800	$210,800	13:06:58	80
10	32 DORCHESTER RD	201/  7/  /  / 	  3307/0544	$417,100	$417,100	2.46	1010	SINGLE FAM MDL01	LCD	1	2016	$254,100	$163,000	$417,100	$240,000	05/31/2006	$5,000	08/07/1953	$380,000	$380,000	13:07:00	81
12	22 DORCHESTER RD	201/  9/  /  / 	  4243/0537	$487,000	$487,000	3.11	1010	SINGLE FAM MDL01	LCD	1	2016	$261,800	$225,200	$487,000	$500,000	10/24/2016	$14,000	07/28/2008	$432,700	$432,700	13:07:03	82
13	18 DORCHESTER RD	201/  10/  /  / 	  1812/0014	$556,400	$556,400	1.6	1010	SINGLE FAM MDL01	LCD	2	2016	$275,700	$280,700	$556,400	$121,000	07/06/1989			$444,000	$444,000	13:07:06	83
16	1 MARKET ST	201/  11/  /  / 	  4094/0467	$1,401,800	$1,401,800	1.4	3020	INNS	LCD	1	2016	$1,016,100	$385,700	$1,401,800	$950,000	11/12/2014	$500,000	09/02/2008	$1,206,600	$1,206,600	13:07:09	84
18	7 MARKET ST	201/  12/  1000/  / 	  4538/ 917	$301,600	$301,600	0.37	1010	SINGLE FAM MDL01	LCD	1	2016	$162,500	$139,100	$301,600	$435,000	07/23/2020	$97,000	10/07/1988	$299,900	$299,900	13:07:13	85
19	5 MARKET ST	201/  12/  2000/  / 	  4538/ 917	$154,000	$154,000	0.05	1010	SINGLE FAM MDL01	LCD	1	2016	$91,700	$62,300	$154,000	$435,000	07/23/2020	$97,000	10/07/1988	$135,600	$135,600	13:07:17	86
20	11 MARKET ST	201/  13/  /  / 	  3651/0625	$615,800	$615,800	1.6	1010	SINGLE FAM MDL01	LCD	1	2016	$381,400	$234,400	$615,800	$0	09/30/2009	$92,000	06/12/1986	$573,900	$573,900	13:07:19	87
21	15 MARKET ST	201/  14/  /  / 	  4414/0628	$686,500	$686,500	1.8	1090	MULTI HSES	LCD	2	2016	$398,100	$288,400	$686,500	$0	02/01/2019	$550,000	07/09/2018	$613,400	$613,400	13:07:20	88
22	19 MARKET ST	201/  15/  /  / 	  3902/0145	$449,000	$449,000	0.55	1010	SINGLE FAM MDL01	LCD	1	2016	$269,300	$179,700	$449,000	$0	07/25/2012	$362,000	07/03/2012	$390,000	$390,000	13:07:24	89
23	25 MARKET ST	201/  16/  /  / 	  1217/0589	$478,700	$478,700	4.31	0101	Single Fam	LCD	1	2016	$233,100	$245,600	$478,700	$42,400	04/11/1974			$441,800	$441,800	13:07:26	90
26	26 MARKET ST	201/  19/  /  / 	  4136/0106	$364,400	$364,400	1.1	1010	SINGLE FAM MDL01	LCD	1	2016	$159,100	$205,300	$364,400	$195,000	06/17/2015	$98,000	06/22/1990	$293,900	$293,900	13:07:28	91
25	30 MARKET ST	201/  18/  /  / 	  2510/0517	$581,100	$581,100	0.5	1010	SINGLE FAM MDL01	RD	1	2016	$410,600	$170,500	$581,100	$290,000	12/14/2000	$30,000	05/17/1983	$468,400	$468,400	13:07:31	92
28	20 MARKET ST	201/  21/  /  / 	  3967/ 527	$594,000	$594,000	3.5	1090	MULTI HSES	LCD	1	2016	$292,900	$301,100	$594,000	$0	04/02/2013	$4,000	04/10/1998	$500,300	$500,300	13:07:35	93
101602	27 PLEASANT ST	201/  80/  0020/  / 	  3664/0671	$223,200	$223,200	0.00	1020	CONDO	LCD	1	2016	$223,200	$0	$223,200	$140,000	11/19/2009	$65,000	08/04/1999	$217,800	$217,800	13:07:38	94
101622	3 PRESTON RD	402/  37/  0100/  / 	  4306/0960	$448,700	$508,900	12.52	1010	SINGLE FAM MDL01	RD	1	2016	$334,300	$174,600	$508,900	$110,000	08/25/2017	$125,000	03/13/2006	$235,900	$290,300	13:07:41	95
101642	11  PRESTON RD	401/  1/  1000/  / 	  2923/0335	$442,400	$442,400	3.01	1010	SINGLE FAM MDL01	RD	1	2016	$297,600	$144,800	$442,400	$196,000	11/13/2003			$372,500	$372,500	13:07:44	96
32	8 MARKET ST	201/  25/  /  / 	  3072/0304	$277,800	$277,800	0.37	1010	SINGLE FAM MDL01	LCD	1	2016	$131,000	$146,800	$277,800	$248,000	10/29/2004	$7,000	07/05/1957	$273,800	$273,800	13:07:47	97
570	655 RIVER RD	405/  30/  2000/  / 	  2142/0379	$528,000	$762,400	27.54	1013	SFR WATER  MDL-01	RD	3	2016	$184,400	$578,000	$762,400	$175,000	05/19/1995	$220,000	07/20/1994	$420,400	$625,600	13:07:50	98
571	667 RIVER RD	405/  31/  /  / 	  4601/ 158	$349,100	$349,100	3	1010	SINGLE FAM MDL01	RD	1	2016	$169,100	$180,000	$349,100	$260,000	02/08/2021			$278,900	$278,900	13:07:52	99
572	669 RIVER RD	405/  32/  /  / 	  4506/ 724	$364,900	$364,900	0.93	1010	SINGLE FAM MDL01	RD	1	2016	$181,000	$183,900	$364,900	$48,000	03/18/2020	$100	04/05/1971	$148,600	$148,600	13:07:54	100
883	108 HORTON LN	408/  45/  /  / 	  1370/0997	$73,000	$164,900	50.1	1010	SINGLE FAM MDL01	RD	1	2016	$21,300	$143,600	$164,900	$0	07/20/1979			$68,900	$195,600	13:07:56	101
884	44 HORTON LN	408/  46/  /  / 	  1479/0812	$352,500	$426,500	20	1010	SINGLE FAM MDL01	RD	1	2016	$191,000	$235,500	$426,500	$18,000	08/12/1983	$36,000	09/09/1977	$311,300	$378,500	13:07:59	102
100401	65 WASHBURN HILL RD	402/  15/  2000/  / 	  0000/0000	$2,500	$315,200	37.66	6114	WPMR-4	RD	1	2016	$0	$315,200	$315,200	$0	05/20/2005			$2,500	$263,300	13:08:03	103
887	36 HORTON LN	408/  47/  1000/  / 	  4027/0777	$1,415,400	$1,527,900	30.1	1010	SINGLE FAM MDL01	RD	1	2016	$1,053,200	$474,700	$1,527,900	$1,490,000	11/26/2013	$285,000	09/18/1995	$1,349,500	$1,451,500	13:08:05	104
578	765 RIVER RD	405/  38/  1000/  / 	  3816/0072	$1,804,500	$1,953,100	12.58	1013	SFR WATER  MDL-01	RD	1	2016	$881,300	$1,071,800	$1,953,100	$0	08/25/2011			$1,471,300	$1,586,300	13:08:07	105
579	772 RIVER RD	405/  39/  /  / 	  3480/0184	$655,300	$710,500	10	1010	SINGLE FAM MDL01	RD	1	2016	$443,300	$267,200	$710,500	$0	12/20/2007			$595,100	$645,200	13:08:09	106
580	748 RIVER RD	405/  40/  /  / 	  1792/0815	$19,300	$19,300	7	1300	RES ACLNDV	RD	1	2016	$0	$19,300	$19,300	$0	02/15/1989			$17,500	$17,500	13:08:11	107
581	736 RIVER RD	405/  42/  1000/  / 	  4474/ 623	$415,500	$737,000	49.50	1060	AC LND IMP	RD	1	2016	$169,200	$567,800	$737,000	$0	10/17/2019	$525,000	03/17/1998	$399,700	$674,600	13:08:15	108
582	738 RIVER RD	405/  42/  2000/  / 	  4474/0623	$1,378,800	$1,643,300	65	1010	SINGLE FAM MDL01	RD	1	2016	$971,900	$671,400	$1,643,300	$1,525,000	10/17/2019	$525,000	03/17/1998	$797,800	$1,037,200	13:08:18	109
584	122 BRECK HILL RD	405/  44/  /  / 	  4103/0394	$789,100	$1,093,000	61.66	1010	SINGLE FAM MDL01	RD	1	2016	$561,900	$531,100	$1,093,000	$758,000	12/29/2014	$565,000	09/20/1995	$729,700	$1,005,000	13:08:20	110
591	100 BRECK HILL RD	405/  45/  1000/  / 	  1994/0666	$11,200	$346,300	21.15	1300	RES ACLNDV	RD	1	2016	$0	$346,300	$346,300	$0	12/19/1994			$11,200	$258,900	13:08:22	111
592	92 BRECK HILL RD	405/  45/  2000/  / 	  1994/0666	$1,000	$190,200	5.35	6126	WPUN-6	RD	1	2016	$0	$190,200	$190,200	$0	12/19/1994			$1,000	$144,900	13:08:24	112
593	80 BRECK HILL RD	405/  46/  /  / 	  4366/0205	$525,600	$606,800	25	1010	SINGLE FAM MDL01	RD	1	2016	$234,800	$372,000	$606,800	$250,000	06/08/2016	$2,666	07/12/2002	$412,200	$485,700	13:08:26	113
34	4 MARKET ST	201/  27/  /  / 	  4368/0297	$552,900	$552,900	0.4	1010	SINGLE FAM MDL01	LCD	1	2016	$395,200	$157,700	$552,900	$0	06/19/2018	$135,000	02/01/1988	$557,400	$557,400	13:08:29	114
35	1 ON THE COMMON (COMMON)	201/  28/  /  / 	 	$29,200	$29,200	1.4	9035	TOWN-PROP	LCD	1	2016	$0	$29,200	$29,200	$0				$24,000	$24,000	13:08:33	115
37	16 ON THE COMMON	201/  30/  /  / 	  4325/0395	$650,500	$650,500	0.78	920C	NON PROFIT  MDL-94	LCD	1	2016	$297,500	$353,000	$650,500	$425,000	11/15/2017	$447,000	02/04/2009	$485,900	$485,900	13:08:35	116
