PID	Street Address	MBLU	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Year	Improvements	Land	Total	
179	35 HIGH ST	201/  129/  /  / 	$245,900	$245,900	1.7	1010	SINGLE FAM MDL01	LCD	1	2016	$140,700	$105,200	$245,900	09:43:44	35
181	31 ROCKY HILL LN	201/  131/  /  / 	$2,400	$246,600	20	1320	RES ACLNUD	LCD	1	2016	$0	$246,600	$246,600	09:43:46	36
182	12 ROCKY HILL LN	201/  132/  /  / 	$748,600	$788,200	12.8	1010	SINGLE FAM MDL01	LCD	1	2016	$520,800	$267,400	$788,200	09:43:48	37
183	49 HIGH ST	201/  133/  /  / 	$79,500	$79,500	0.95	1060	AC LND IMP	LCD	1	2016	$12,500	$67,000	$79,500	09:43:51	38
249	13 HEWS LN	401/  46/  /  / 	$289,400	$289,400	2.8	1010	SINGLE FAM MDL01	RD	1	2016	$167,400	$122,000	$289,400	09:43:55	39
189	76 GOODELL LN	401/  4/  /  / 	$43,000	$119,700	37	1060	AC LND IMP	RD	1	2016	$7,800	$111,900	$119,700	09:43:57	40
190	54 GOODELL LN	401/  5/  /  / 	$1,000	$52,800	23.11	6215	HWMR-5	RD	1	2016	$0	$52,800	$52,800	09:43:59	41
191	42 GOODELL LN	401/  6/  /  / 	$6,000	$184,700	104.74	6514	FARMR-4	RD	1	2016	$0	$184,700	$184,700	09:44:03	42
192	68 PRESTON RD	401/  7/  /  / 	$25,500	$576,600	191.4	6125	WPUN-5	RD	1	2016	$0	$576,600	$576,600	09:44:07	43
195	298 BAKER HILL RD	401/  10/  /  / 	$466,100	$466,100	5.2	1010	SINGLE FAM MDL01	RD	1	2016	$328,100	$138,000	$466,100	09:44:09	44
197	65 GOODELL LN	401/  12/  /  / 	$2,500	$154,300	81.63	6213	HWMR-3	RD	1	2016	$0	$154,300	$154,300	09:44:10	45
203	102 DARTMOUTH COLLEGE HY	401/  14/  /  / 	$288,800	$288,800	0.83	1010	SINGLE FAM MDL01	RD	1	2016	$195,200	$93,600	$288,800	09:44:13	46
204	84 DARTMOUTH COLLEGE HY	401/  15/  /  / 	$429,800	$574,600	52	1120	APT OVER 8	BD	1	2016	$256,600	$318,000	$574,600	09:44:15	47
206	60 DARTMOUTH COLLEGE HY	401/  17/  /  / 	$670,000	$753,600	15.8	1010	SINGLE FAM MDL01	RD	1	2016	$566,800	$186,800	$753,600	09:44:19	48
207	19 GOOSE POND RD	401/  18/  /  / 	$54,200	$579,800	125.6	1060	AC LND IMP	RD	1	2016	$1,500	$578,300	$579,800	09:44:20	49
209	51 GOOSE POND RD	401/  20/  /  / 	$201,900	$201,900	1.5	1010	SINGLE FAM MDL01	RD	1	2016	$102,800	$99,100	$201,900	09:44:23	50
210	57 GOOSE POND RD	401/  21/  /  / 	$285,700	$285,700	1.5	1010	SINGLE FAM MDL01	RD	1	2016	$186,600	$99,100	$285,700	09:44:26	51
100361	137 MUD TURTLE POND RD	406/  26/  /  / 	$4,200	$83,150	95	6204	HWM-4	RD	1	2016	$0	$83,150	$83,150	09:44:29	52
217	127 GOOSE POND RD	401/  23/  1100/  / 	$2,600	$259,100	56.37	6234	HWUNR-4	RD	1	2016	$0	$259,100	$259,100	09:44:31	53
219	149 GOOSE POND RD	401/  23/  3000/  / 	$288,500	$288,500	2.82	1010	SINGLE FAM MDL01	RD	1	2016	$189,400	$99,100	$288,500	09:44:34	54
220	153 GOOSE POND RD	401/  24/  /  / 	$223,400	$223,400	2	1010	SINGLE FAM MDL01	RD	1	2016	$140,700	$82,700	$223,400	09:44:38	55
221	157 GOOSE POND RD	401/  25/  /  / 	$247,100	$247,100	1.7	1010	SINGLE FAM MDL01	RD	1	2016	$173,600	$73,500	$247,100	09:44:42	56
223	32 PELTON LN	401/  27/  /  / 	$401,500	$445,200	11.67	1010	SINGLE FAM MDL01	RD	1	2016	$288,000	$157,200	$445,200	09:44:45	57
225	342 BAKER HILL RD	401/  29/  /  / 	$187,000	$187,000	6.1	1030	MOBILE HOM  MDL-02	RD	2	2016	$73,100	$113,900	$187,000	09:44:48	58
229	320 BAKER HILL RD	401/  30/  1000/  / 	$395,400	$395,400	2.6	1010	SINGLE FAM MDL01	RD	1	2016	$290,000	$105,400	$395,400	09:44:52	59
230	330 BAKER HILL RD	401/  30/  2000/  / 	$2,800	$175,200	29.4	6335	OTUNR-5	RD	1	2016	$0	$175,200	$175,200	09:44:55	60
232	156 GOOSE POND RD	401/  32/  /  / 	$106,700	$106,700	0.45	1010	SINGLE FAM MDL01	RD	1	2016	$54,200	$52,500	$106,700	09:44:58	61
233	154 GOOSE POND RD	401/  33/  /  / 	$118,900	$118,900	0.45	1010	SINGLE FAM MDL01	RD	1	2016	$59,900	$59,000	$118,900	09:45:01	62
235	144 GOOSE POND RD	401/  35/  /  / 	$511,000	$511,000	6.20	1010	SINGLE FAM MDL01		2	2016	$403,100	$107,900	$511,000	09:45:04	63
236	142 GOOSE POND RD	401/  36/  /  / 	$220,200	$220,200	0.91	1010	SINGLE FAM MDL01	RD	1	2016	$152,400	$67,800	$220,200	09:45:06	64
100041	198 BAKER HILL RD	410/  9/  2000/  / 	$8,800	$286,400	37.35	6506	FARM-6	RD	1	2016	$0	$286,400	$286,400	09:45:08	65
237	138 GOOSE POND RD	401/  37/  /  / 	$92,500	$92,500	0.47	1030	MOBILE HOM  MDL-02	RD	1	2016	$39,500	$53,000	$92,500	09:45:11	66
241	72 GOOSE POND RD	401/  39/  /  / 	$237,800	$742,300	174	1010	SINGLE FAM MDL01	RD	1	2016	$120,900	$621,400	$742,300	09:45:13	67
244	40 GOOSE POND RD	401/  41/  /  / 	$700	$700	0.07	1320	RES ACLNUD		1	2016	$0	$700	$700	09:45:16	68
245	36 GOOSE POND RD	401/  42/  /  / 	$184,400	$184,400	0.54	1010	SINGLE FAM MDL01	RD	1	2016	$98,100	$86,300	$184,400	09:45:20	69
246	20 DARTMOUTH COLLEGE HY	401/  43/  /  / 	$6,200	$253,600	32.8	6515	FARMR-5	RD	1	2016	$0	$253,600	$253,600	09:45:23	70
247	1 DARTMOUTH COLLEGE HY	401/  44/  /  / 	$103,300	$103,300	1.1	1090	MULTI HSES	RD	2	2016	$10,400	$92,900	$103,300	09:45:26	71
248	7 HEWS LN	401/  45/  /  / 	$249,500	$249,500	2.4	1010	SINGLE FAM MDL01	RD	1	2016	$144,000	$105,500	$249,500	09:45:29	72
1	FLOWAGE RIGHTS	100/  1/  /  / 	$1,254,000	$1,254,000	0	0422	ELEC PLANT		1	2016	$1,254,000	$0	$1,254,000	09:45:33	73
2	POWER LINES/L-37.62 MI	100/  2/  /  / 	$2,695,800	$2,695,800	0.00	0422	ELEC PLANT		1	2016	$2,695,800	$0	$2,695,800	09:45:35	74
3	POWER LINES	100/  3/  /  / 	$2,527,700	$2,527,700	0	0422	ELEC PLANT		1	2016	$2,527,700	$0	$2,527,700	09:45:38	75
4	POWER LINES	100/  4/  /  / 	$500	$500	0.00	0422	ELEC PLANT		1	2016	$500	$0	$500	09:45:40	76
5	58 DORCHESTER RD	201/  1/  /  / 	$210,900	$210,900	3.9	1010	SINGLE FAM MDL01	LCD	1	2016	$80,700	$130,200	$210,900	09:45:44	77
7	42 DORCHESTER RD	201/  4/  /  / 	$150,200	$150,200	0.49	1010	SINGLE FAM MDL01	LCD	1	2016	$62,000	$88,200	$150,200	09:45:48	78
8	40 DORCHESTER RD	201/  5/  /  / 	$207,800	$207,800	0.98	1010	SINGLE FAM MDL01	LCD	1	2016	$106,600	$101,200	$207,800	09:45:51	79
9	36 DORCHESTER RD	201/  6/  /  / 	$210,800	$210,800	1.85	1010	SINGLE FAM MDL01	LCD	1	2016	$89,500	$121,300	$210,800	09:45:53	80
10	32 DORCHESTER RD	201/  7/  /  / 	$380,000	$380,000	2.46	1010	SINGLE FAM MDL01	LCD	1	2016	$254,100	$125,900	$380,000	09:45:57	81
12	22 DORCHESTER RD	201/  9/  /  / 	$432,700	$432,700	3.11	1010	SINGLE FAM MDL01	LCD	1	2016	$260,800	$171,900	$432,700	09:46:00	82
13	18 DORCHESTER RD	201/  10/  /  / 	$444,000	$444,000	1.6	1010	SINGLE FAM MDL01	LCD	2	2016	$257,200	$186,800	$444,000	09:46:03	83
16	1 MARKET ST	201/  11/  /  / 	$1,206,600	$1,206,600	1.4	3020	INNS	LCD	1	2016	$913,900	$292,700	$1,206,600	09:46:05	84
18	7 MARKET ST	201/  12/  1000/  / 	$299,900	$299,900	0.37	1010	SINGLE FAM MDL01	LCD	1	2016	$161,500	$138,400	$299,900	09:46:07	85
19	5 MARKET ST	201/  12/  2000/  / 	$135,600	$135,600	0.05	1010	SINGLE FAM MDL01	LCD	1	2016	$82,100	$53,500	$135,600	09:46:10	86
20	11 MARKET ST	201/  13/  /  / 	$573,900	$573,900	1.6	1010	SINGLE FAM MDL01	LCD	1	2016	$367,500	$206,400	$573,900	09:46:11	87
21	15 MARKET ST	201/  14/  /  / 	$613,400	$613,400	1.8	1090	MULTI HSES	LCD	2	2016	$409,800	$203,600	$613,400	09:46:14	88
22	19 MARKET ST	201/  15/  /  / 	$390,000	$390,000	0.55	1010	SINGLE FAM MDL01	LCD	1	2016	$211,300	$178,700	$390,000	09:46:17	89
23	25 MARKET ST	201/  16/  /  / 	$441,800	$441,800	4.31	0101	Single Fam	LCD	1	2016	$227,500	$214,300	$441,800	09:46:19	90
26	26 MARKET ST	201/  19/  /  / 	$293,900	$293,900	1.1	1010	SINGLE FAM MDL01	LCD	1	2016	$143,500	$150,400	$293,900	09:46:22	91
25	30 MARKET ST	201/  18/  /  / 	$468,400	$468,400	0.5	1010	SINGLE FAM MDL01	RD	1	2016	$319,400	$149,000	$468,400	09:46:25	92
28	20 MARKET ST	201/  21/  /  / 	$500,300	$500,300	3.5	1010	SINGLE FAM MDL01	LCD	1	2016	$284,900	$215,400	$500,300	09:46:27	93
101602	27 PLEASANT ST	201/  80/  0020/  / 	$217,800	$217,800	0.00	1020	CONDO	LCD	1	2016	$217,800	$0	$217,800	09:46:29	94
101622	3 PRESTON RD	402/  37/  0100/  / 	$235,900	$290,300	12.52	1010	SINGLE FAM MDL01	RD	1	2016	$139,800	$150,500	$290,300	09:46:32	95
101642	11  PRESTON RD	401/  1/  1000/  / 	$372,500	$372,500	3.01	1010	SINGLE FAM MDL01	RD	1	2016	$260,900	$111,600	$372,500	09:46:34	96
32	8 MARKET ST	201/  25/  /  / 	$273,800	$273,800	0.37	1010	SINGLE FAM MDL01	LCD	1	2016	$119,100	$154,700	$273,800	09:46:38	97
570	655 RIVER RD	405/  30/  2000/  / 	$420,400	$625,600	27.54	1013	SFR WATER  MDL-01	RD	3	2016	$138,500	$487,100	$625,600	09:46:42	98
571	667 RIVER RD	405/  31/  /  / 	$278,900	$278,900	3	1010	SINGLE FAM MDL01	RD	1	2016	$120,400	$158,500	$278,900	09:46:45	99
572	669 RIVER RD	405/  32/  /  / 	$148,600	$148,600	0.93	1030	MOBILE HOM  MDL-02	RD	1	2016	$31,500	$117,100	$148,600	09:46:48	100
883	108 HORTON LN	408/  45/  /  / 	$68,900	$195,600	50.1	1010	SINGLE FAM MDL01	RD	1	2016	$31,000	$164,600	$195,600	09:46:51	101
884	44 HORTON LN	408/  46/  /  / 	$311,300	$378,500	20	1010	SINGLE FAM MDL01	RD	1	2016	$169,000	$209,500	$378,500	09:46:53	102
100401	65 WASHBURN HILL RD	402/  15/  2000/  / 	$2,500	$263,300	37.66	6114	WPMR-4	RD	1	2016	$0	$263,300	$263,300	09:46:57	103
887	36 HORTON LN	408/  47/  1000/  / 	$1,349,500	$1,451,500	30.1	1010	SINGLE FAM MDL01	RD	1	2016	$950,800	$500,700	$1,451,500	09:47:01	104
578	765 RIVER RD	405/  38/  1000/  / 	$1,471,300	$1,586,300	12.58	1013	SFR WATER  MDL-01	RD	1	2016	$931,500	$654,800	$1,586,300	09:47:05	105
579	772 RIVER RD	405/  39/  /  / 	$595,100	$645,200	10	1010	SINGLE FAM MDL01	RD	1	2016	$360,800	$284,400	$645,200	09:47:06	106
580	748 RIVER RD	405/  40/  /  / 	$17,500	$17,500	7	1300	RES ACLNDV	RD	1	2016	$0	$17,500	$17,500	09:47:08	107
581	736 RIVER RD	405/  42/  1000/  / 	$399,700	$674,600	49.50	1060	AC LND IMP	RD	1	2016	$153,400	$521,200	$674,600	09:47:12	108
582	738 RIVER RD	405/  42/  2000/  / 	$797,800	$1,037,200	65	1010	SINGLE FAM MDL01	RD	1	2016	$519,000	$518,200	$1,037,200	09:47:14	109
584	122 BRECK HILL RD	405/  44/  /  / 	$729,700	$1,005,000	61.66	1010	SINGLE FAM MDL01	RD	1	2016	$454,200	$550,800	$1,005,000	09:47:18	110
591	100 BRECK HILL RD	405/  45/  1000/  / 	$11,200	$258,900	21.15	1300	RES ACLNDV	RD	1	2016	$0	$258,900	$258,900	09:47:22	111
592	92 BRECK HILL RD	405/  45/  2000/  / 	$1,000	$144,900	5.35	6126	WPUN-6	RD	1	2016	$0	$144,900	$144,900	09:47:24	112
593	80 BRECK HILL RD	405/  46/  /  / 	$412,200	$485,700	25	1010	SINGLE FAM MDL01	RD	1	2016	$155,100	$330,600	$485,700	09:47:27	113
34	4 MARKET ST	201/  27/  /  / 	$557,400	$557,400	0.4	1010	SINGLE FAM MDL01	LCD	1	2016	$391,300	$166,100	$557,400	09:47:30	114
35	1 ON THE COMMON (COMMON)	201/  28/  /  / 	$24,000	$24,000	1.4	9035	TOWN-PROP	LCD	1	2016	$0	$24,000	$24,000	09:47:33	115
37	16 ON THE COMMON	201/  30/  /  / 	$485,900	$485,900	0.78	920C	NON PROFIT  MDL-94	LCD	1	2016	$199,500	$286,400	$485,900	09:47:34	116
39	14 ON THE COMMON	201/  31/  1000/  / 	$630,100	$630,100	3.08	1040	TWO FAMILY	LCD	1	2016	$421,400	$208,700	$630,100	09:47:36	117
40	18 MARKET ST (BIG ROCK)	201/  31/  2000/  / 	$37,300	$37,300	9.99	9035	TOWN-PROP		1	2016	$0	$37,300	$37,300	09:47:38	118
41	12 ON THE COMMON	201/  32/  /  / 	$617,400	$617,400	0.65	1010	SINGLE FAM MDL01	LCD	1	2016	$441,600	$175,800	$617,400	09:47:42	119
42	10 ON THE COMMON	201/  33/  /  / 	$439,200	$439,200	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	$246,800	$192,400	$439,200	09:47:46	120
43	8 ON THE COMMON	201/  34/  /  / 	$319,400	$319,400	1.71	1010	SINGLE FAM MDL01	LCD	1	2016	$156,300	$163,100	$319,400	09:47:48	121
50	6 ON THE COMMON UNIT #1	201/  35/  0010/  / 	$150,100	$150,100	0	1021	CONDO NL  MDL-05	LCD	1	2016	$150,100	$0	$150,100	09:47:49	122
54	6 ON THE COMMON UNIT #5	201/  35/  0050/  / 	$137,400	$137,400	0	1021	CONDO NL  MDL-05	LCD	1	2016	$137,400	$0	$137,400	09:47:51	123
1136	182 GOOSE POND RD	410/  73/  /  / 	$138,900	$138,900	1.2	1030	MOBILE HOM  MDL-02	RD	1	2016	$68,400	$70,500	$138,900	09:47:53	124
1126	203 GOOSE POND RD	410/  63/  /  / 	$247,500	$247,500	2.1	1040	TWO FAMILY	RD	1	2016	$168,200	$79,300	$247,500	09:47:55	125
56	4 ON THE COMMON	201/  36/  /  / 	$1,095,200	$1,095,200	0.18	3160	COMM WHSE	LCD	1	2016	$908,500	$186,700	$1,095,200	09:47:58	126
1165	101 GRAFTON TK	413/  1/  /  / 	$129,100	$129,100	0.24	1010	SINGLE FAM MDL01	ELD	1	2016	$57,300	$71,800	$129,100	09:48:00	127
58	38 UNION ST (LIBRARY)	201/  38/  /  / 	$859,500	$859,500	0.44	903C	MUNICPAL  MDL-94	LCD	1	2016	$604,000	$255,500	$859,500	09:48:01	128
575	711 RIVER RD	405/  35/  /  / 	$1,269,200	$1,497,700	21.50	1013	SFR WATER  MDL-01	RD	3	2016	$731,800	$765,900	$1,497,700	09:48:04	129
576	729 RIVER RD	405/  36/  /  / 	$2,746,000	$2,746,000	18.43	1013	SFR WATER  MDL-01		5	2016	$1,802,900	$943,100	$2,746,000	09:48:08	130
250	17 HEWS LN	401/  47/  /  / 	$2,700	$280,000	21	6513	FARMR-3	RD	1	2016	$0	$280,000	$280,000	09:48:10	131
251	20 HEWS LN	401/  48/  /  / 	$346,300	$450,900	19.03	1010	SINGLE FAM MDL01	RD	1	2016	$163,700	$287,200	$450,900	09:48:12	132
252	10 HEWS LN	401/  49/  /  / 	$250,200	$347,400	28.65	1010	SINGLE FAM MDL01	RD	1	2016	$155,600	$191,800	$347,400	09:48:15	133
253	8 HEWS LN	401/  50/  /  / 	$303,600	$303,600	2.4	1010	SINGLE FAM MDL01	RD	1	2016	$187,200	$116,400	$303,600	09:48:17	134
254	43 DARTMOUTH COLLEGE HY	401/  51/  /  / 	$360,700	$641,700	53.9	1010	SINGLE FAM MDL01	RD	1	2016	$243,100	$398,600	$641,700	09:48:19	135
255	61 DARTMOUTH COLLEGE HY	401/  52/  /  / 	$287,700	$287,700	2.2	1010	SINGLE FAM MDL01	RD	1	2016	$188,200	$99,500	$287,700	09:48:23	136
256	63-69 DARTMOUTH COLLEGE HY	401/  53/  1000/  / 	$1,489,200	$1,489,200	3.2	0101	Single Fam	RD	4	2016	$1,251,500	$237,700	$1,489,200	09:48:24	137
257	77 DARTMOUTH COLLEGE HY	401/  54/  /  / 	$168,600	$168,600	2.4	1010	SINGLE FAM MDL01	RD	1	2016	$67,900	$100,700	$168,600	09:48:26	138
258	85 DARTMOUTH COLLEGE HY #3010	401/  55/  301/  / 	$347,600	$347,600	0.00	1021	CONDO NL  MDL-05	BD	1	2016	$347,600	$0	$347,600	09:48:30	139
259	101 DARTMOUTH COLLEGE HY	401/  56/  /  / 	$2,683,100	$2,683,100	136	904C	PRI SCHOOL  MDL-94		1	2016	$2,190,400	$492,700	$2,683,100	09:48:33	140
260	82 RIVER RD	401/  57/  /  / 	$218,400	$218,400	0.83	1010	SINGLE FAM MDL01	RD	1	2016	$61,100	$157,300	$218,400	09:48:37	141
102876	66 BLISS LN	410/  46/  2000/  / 	$800	$281,700	22.45	6334	OTUNR-4	RD	1	2016	$0	$281,700	$281,700	09:48:41	142
267	7 WILMOTT WY	401/  59/  /  / 	$132,900	$132,900	5.78	1030	MOBILE HOM  MDL-02	RD	1	2016	$36,300	$96,600	$132,900	09:48:43	143
270	21 WILMOTT WY	401/  60/  /  / 	$126,000	$126,000	4.91	1030	MOBILE HOM  MDL-02	RD	1	2016	$33,700	$92,300	$126,000	09:48:46	144
271	25 WILMOTT WY	401/  61/  /  / 	$391,500	$391,500	2.10	1010	SINGLE FAM MDL01	RD	2	2016	$313,300	$78,200	$391,500	09:48:50	145
273	34 WILMOTT WY	401/  63/  /  / 	$95,000	$95,000	2.01	1030	MOBILE HOM  MDL-02	RD	1	2016	$25,700	$69,300	$95,000	09:48:52	146
275	12 WILMOTT WY	401/  65/  /  / 	$98,400	$98,400	2.5	1030	MOBILE HOM  MDL-02	RD	1	2016	$14,200	$84,200	$98,400	09:48:56	147
102896	59 ORFORD RD	408/  19/  /  / 	$400	$69,900	5.4	6224	HWUN-4	RD	1	2016	$0	$69,900	$69,900	09:48:59	148
102770	100 RIVER RD	402/  85/  /  / 	$768,500	$927,800	38.81	1010	SINGLE FAM MDL01	RD	1	2016	$572,100	$355,700	$927,800	09:49:01	149
102771	355 ORFORD RD	406/  5/  /  / 	$235,900	$235,900	1.4	1010	SINGLE FAM MDL01		1	2016	$142,000	$93,900	$235,900	09:49:04	150
102772	131 GRAFTON TK	413/  4/  /  / 	$14,800	$447,800	372	6232	HWUNR-2	ELD	1	2016	$0	$447,800	$447,800	09:49:07	151
276	6 WILMOTT WY	401/  66/  /  / 	$290,100	$290,100	1.5	1010	SINGLE FAM MDL01	RD	1	2016	$122,700	$167,400	$290,100	09:49:10	152
278	50 RIVER RD	401/  68/  /  / 	$240,800	$350,100	43.47	1010	SINGLE FAM MDL01	RD	1	2016	$72,200	$277,900	$350,100	09:49:12	153
102897	60 ORFORD RD	408/  20/  /  / 	$313,100	$330,000	5.90	1093	MLTI HS WF		4	2016	$96,500	$233,500	$330,000	09:49:16	154
59	36 UNION ST	201/  39/  /  / 	$496,100	$496,100	0.39	1010	SINGLE FAM MDL01	LCD	1	2016	$331,100	$165,000	$496,100	09:49:18	155
60	32 UNION ST	201/  40/  /  / 	$635,400	$635,400	1.55	1040	TWO FAMILY	LCD	1	2016	$442,800	$192,600	$635,400	09:49:21	156
859	70 ORFORD RD	408/  22/  1000/  / 	$870,500	$870,500	13.45	3880	CABNCOLONY	RD	21	2016	$411,500	$459,000	$870,500	09:49:25	157
63	28 UNION ST	201/  43/  /  / 	$386,600	$386,600	2.55	111C	APT 4-UNT  MDL-94	LCD	1	2016	$182,300	$204,300	$386,600	09:49:27	158
64	26 UNION ST	201/  44/  /  / 	$262,500	$262,500	1.6	1010	SINGLE FAM MDL01	LCD	1	2016	$100,700	$161,800	$262,500	09:49:29	159
66	22 UNION ST	201/  46/  /  / 	$408,400	$408,400	1.28	1040	TWO FAMILY	LCD	1	2016	$205,200	$203,200	$408,400	09:49:31	160
68	5 BROOK LN	201/  48/  /  / 	$256,600	$256,600	2.3	1010	SINGLE FAM MDL01	RD	1	2016	$136,000	$120,600	$256,600	09:49:33	161
69	4 BROOK LN	201/  49/  /  / 	$8,400	$8,400	0.41	9010	STATE NH	RD	1	2016	$0	$8,400	$8,400	09:49:35	162
71	Problem loading parcel PID 71
76	11 UNION ST	201/  51/  1000/  / 	$743,900	$743,900	2	1010	SINGLE FAM MDL01	LCD	1	2016	$537,500	$206,400	$743,900	09:49:38	164
