PID	Street Address	MBLU	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Assessment	Appraisal	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	
195	298 BAKER HILL RD	401/  10/  /  / 	5.2	1010	SINGLE FAM MDL01	RD	1	2016	"$343,500 "	"$176,200 "	"$519,700 "	"$519,700 "	"$519,700 "	"$475,000 "	9/3/08	"$320,000 "	9/18/06	
197	65 GOODELL LN	401/  12/  /  / 	81.63	6213	HWMR-3	RD	1	2016	$0 	"$166,600 "	"$166,600 "	"$2,500 "	"$166,600 "	$0 				
203	102 DARTMOUTH COLLEGE HY	401/  14/  /  / 	0.83	1010	SINGLE FAM MDL01	RD	1	2016	"$232,400 "	"$125,100 "	"$357,500 "	"$357,500 "	"$357,500 "	"$303,000 "	8/31/20	"$314,000 "	12/16/19	
204	84 DARTMOUTH COLLEGE HY	401/  15/  /  / 	52	1120	APT OVER 8	BD	1	2016	"$396,000 "	"$484,700 "	"$880,700 "	"$720,800 "	"$880,700 "	$0 	4/14/05	"$110,700 "	8/30/77	
206	60 DARTMOUTH COLLEGE HY	401/  17/  /  / 	15.8	1010	SINGLE FAM MDL01	RD	1	2016	"$606,800 "	"$227,800 "	"$834,600 "	"$742,600 "	"$834,600 "	"$185,000 "	7/19/16	"$19,500 "	8/17/11	
207	19 GOOSE POND RD	401/  18/  /  / 	125.6	1060	AC LND IMP	RD	1	2016	"$1,700 "	"$647,500 "	"$649,200 "	"$54,400 "	"$649,200 "	$0 	9/16/13			
209	51 GOOSE POND RD	401/  20/  /  / 	1.5	1010	SINGLE FAM MDL01	RD	1	2016	"$119,000 "	"$143,300 "	"$262,300 "	"$262,300 "	"$262,300 "	$0 	2/7/12	"$210,000 "	3/6/07	
210	57 GOOSE POND RD	401/  21/  /  / 	1.5	1010	SINGLE FAM MDL01	RD	1	2016	"$193,800 "	"$143,300 "	"$337,100 "	"$337,100 "	"$337,100 "	$0 	12/14/16			
100361	137 MUD TURTLE POND RD	406/  26/  /  / 	95	6204	HWM-4	RD	1	2016	$0 	"$83,150 "	"$83,150 "	"$4,200 "	"$83,150 "	$0 	2/11/05			
217	127 GOOSE POND RD	401/  23/  1100/  / 	56.37	6234	HWUNR-4	RD	1	2016	$0 	"$476,800 "	"$476,800 "	"$2,600 "	"$476,800 "	"$496,533 "	5/14/20	"$310,000 "	8/13/89	
219	149 GOOSE POND RD	401/  23/  3000/  / 	2.82	1010	SINGLE FAM MDL01	RD	1	2016	"$176,100 "	"$164,500 "	"$340,600 "	"$340,600 "	"$340,600 "	"$290,000 "	4/11/14	"$320,533 "	8/31/05	
220	153 GOOSE POND RD	401/  24/  /  / 	2	1010	SINGLE FAM MDL01	RD	1	2016	"$180,400 "	"$108,100 "	"$288,500 "	"$288,500 "	"$288,500 "	$0 	7/8/15			
221	157 GOOSE POND RD	401/  25/  /  / 	1.7	1010	SINGLE FAM MDL01	RD	1	2016	"$221,900 "	"$95,600 "	"$317,500 "	"$317,500 "	"$317,500 "	"$267,000 "	11/7/05	"$65,500 "	6/5/95	
223	32 PELTON LN	401/  27/  /  / 	11.67	1040	TWO FAMILY	RD	1	2016	"$322,900 "	"$175,300 "	"$498,200 "	"$448,800 "	"$498,200 "	"$175,000 "	4/20/07	"$4,000 "	6/9/98	
225	342 BAKER HILL RD	401/  29/  /  / 	6.1	1030	MOBILE HOM  MDL-02	RD	2	2016	"$86,100 "	"$176,600 "	"$262,700 "	"$262,700 "	"$262,700 "	$0 	7/15/16			
229	320 BAKER HILL RD	401/  30/  1000/  / 	2.6	1010	SINGLE FAM MDL01	RD	1	2016	"$312,700 "	"$179,600 "	"$492,300 "	"$492,300 "	"$492,300 "	"$400,000 "	10/3/14	"$376,000 "	7/8/11	
230	330 BAKER HILL RD	401/  30/  2000/  / 	29.4	6335	OTUNR-5	RD	1	2016	$0 	"$218,200 "	"$218,200 "	"$2,800 "	"$218,200 "	$0 	12/28/12			
232	156 GOOSE POND RD	401/  32/  /  / 	0.45	1010	SINGLE FAM MDL01	RD	1	2016	"$72,200 "	"$57,800 "	"$130,000 "	"$130,000 "	"$130,000 "	"$146,000 "	8/26/15	"$45,000 "	7/1/10	
233	154 GOOSE POND RD	401/  33/  /  / 	0.45	1010	SINGLE FAM MDL01	RD	1	2016	"$81,500 "	"$65,100 "	"$146,600 "	"$146,600 "	"$146,600 "	$0 				
235	144 GOOSE POND RD	401/  35/  /  / 	6.2	1010	SINGLE FAM MDL01		2	2016	"$455,900 "	"$169,300 "	"$625,200 "	"$625,200 "	"$625,200 "	"$535,000 "	4/20/16	"$163,048 "	8/10/90	
236	142 GOOSE POND RD	401/  36/  /  / 	0.91	1010	SINGLE FAM MDL01	RD	1	2016	"$184,400 "	"$119,700 "	"$304,100 "	"$304,100 "	"$304,100 "	$0 	12/1/04	"$96,000 "	12/24/90	
100041	198 BAKER HILL RD	410/  9/  2000/  / 	37.35	6506	FARM-6	RD	1	2016	$0 	"$338,400 "	"$338,400 "	"$8,800 "	"$338,400 "	$0 	2/10/14	"$112,942 "	11/3/89	
237	138 GOOSE POND RD	401/  37/  /  / 	0.47	1030	MOBILE HOM  MDL-02	RD	1	2016	"$45,100 "	"$88,200 "	"$133,300 "	"$133,300 "	"$133,300 "	"$74,933 "	8/1/03	"$17,000 "	5/25/79	
241	72 GOOSE POND RD	401/  39/  /  / 	174	1010	SINGLE FAM MDL01	RD	1	2016	"$143,900 "	"$719,400 "	"$863,300 "	"$307,200 "	"$863,300 "	"$750,000 "	9/24/13			
244	40 GOOSE POND RD	401/  41/  /  / 	0.07	1320	RES ACLNUD		1	2016	$0 	$800 	$800 	$800 	$800 	$0 	10/8/06			
245	36 GOOSE POND RD	401/  42/  /  / 	0.54	1010	SINGLE FAM MDL01	RD	1	2016	"$203,900 "	"$115,700 "	"$319,600 "	"$319,600 "	"$319,600 "	"$355,000 "	9/27/19	"$179,000 "	5/15/17	
246	20 DARTMOUTH COLLEGE HY	401/  43/  /  / 	32.8	6515	FARMR-5	RD	1	2016	$0 	"$300,300 "	"$300,300 "	"$6,200 "	"$300,300 "	$0 	2/18/02	"$2,666 "	4/27/01	
247	1 DARTMOUTH COLLEGE HY	401/  44/  /  / 	1.1	1090	MULTI HSES	RD	2	2016	"$13,400 "	"$169,700 "	"$183,100 "	"$183,100 "	"$183,100 "	$0 				
248	7 HEWS LN	401/  45/  /  / 	2.4	1010	SINGLE FAM MDL01	RD	1	2016	"$126,300 "	"$137,700 "	"$264,000 "	"$264,000 "	"$264,000 "	$0 				
1	FLOWAGE RIGHTS	100/  1/  /  / 	0	422	ELEC PLANT		1	2016	"$1,254,000 "	$0 	"$1,254,000 "	"$1,254,000 "	"$1,254,000 "	$0 	4/20/17	"$26,278,600 "	3/31/05	
2	POWER LINES/L-37.62 MI	100/  2/  /  / 	0	422	ELEC PLANT		1	2016	"$2,695,800 "	$0 	"$2,695,800 "	"$2,695,800 "	"$2,695,800 "	$0 				
3	POWER LINES	100/  3/  /  / 	0	422	ELEC PLANT		1	2016	"$2,527,700 "	$0 	"$2,527,700 "	"$2,527,700 "	"$2,527,700 "	"$1,019,533 "	1/1/04			
4	POWER LINES	100/  4/  /  / 	0	422	ELEC PLANT		1	2016	$500 	$0 	$500 	$500 	$500 	$0 				
5	58 DORCHESTER RD	201/  1/  /  / 	3.9	1010	SINGLE FAM MDL01	LCD	1	2016	"$93,700 "	"$167,600 "	"$261,300 "	"$261,300 "	"$261,300 "	$0 	10/25/16	"$150,000 "	1/3/12	
7	42 DORCHESTER RD	201/  4/  /  / 	0.49	1010	SINGLE FAM MDL01	LCD	1	2016	"$77,200 "	"$104,600 "	"$181,800 "	"$181,800 "	"$181,800 "	$0 	12/16/02			
8	40 DORCHESTER RD	201/  5/  /  / 	0.98	1010	SINGLE FAM MDL01	LCD	1	2016	"$114,000 "	"$140,400 "	"$254,400 "	"$254,400 "	"$254,400 "	$0 	12/16/02			
9	36 DORCHESTER RD	201/  6/  /  / 	1.85	1010	SINGLE FAM MDL01	LCD	1	2016	"$108,900 "	"$157,900 "	"$266,800 "	"$266,800 "	"$266,800 "	"$5,000 "	7/12/06			
10	32 DORCHESTER RD	201/  7/  /  / 	2.46	1010	SINGLE FAM MDL01	LCD	1	2016	"$254,100 "	"$163,000 "	"$417,100 "	"$417,100 "	"$417,100 "	"$240,000 "	5/31/06	"$5,000 "	8/7/53	
12	22 DORCHESTER RD	201/  9/  /  / 	3.11	1010	SINGLE FAM MDL01	LCD	1	2016	"$261,800 "	"$225,200 "	"$487,000 "	"$487,000 "	"$487,000 "	"$500,000 "	10/24/16	"$14,000 "	7/28/08	
13	18 DORCHESTER RD	201/  10/  /  / 	1.6	1010	SINGLE FAM MDL01	LCD	2	2016	"$275,700 "	"$280,700 "	"$556,400 "	"$556,400 "	"$556,400 "	"$121,000 "	7/6/89			
16	1 MARKET ST	201/  11/  /  / 	1.4	3020	INNS	LCD	1	2016	"$1,016,100 "	"$385,700 "	"$1,401,800 "	"$1,401,800 "	"$1,401,800 "	"$950,000 "	11/12/14	"$500,000 "	9/2/08	
18	7 MARKET ST	201/  12/  1000/  / 	0.37	1010	SINGLE FAM MDL01	LCD	1	2016	"$162,500 "	"$139,100 "	"$301,600 "	"$301,600 "	"$301,600 "	"$435,000 "	7/23/20	"$97,000 "	10/7/88	
19	5 MARKET ST	201/  12/  2000/  / 	0.05	1010	SINGLE FAM MDL01	LCD	1	2016	"$91,700 "	"$62,300 "	"$154,000 "	"$154,000 "	"$154,000 "	"$435,000 "	7/23/20	"$97,000 "	10/7/88	
20	11 MARKET ST	201/  13/  /  / 	1.6	1010	SINGLE FAM MDL01	LCD	1	2016	"$381,400 "	"$234,400 "	"$615,800 "	"$615,800 "	"$615,800 "	$0 	9/30/09	"$92,000 "	6/12/86	
21	15 MARKET ST	201/  14/  /  / 	1.8	1090	MULTI HSES	LCD	2	2016	"$398,100 "	"$288,400 "	"$686,500 "	"$686,500 "	"$686,500 "	$0 	2/1/19	"$550,000 "	7/9/18	
22	19 MARKET ST	201/  15/  /  / 	0.55	1010	SINGLE FAM MDL01	LCD	1	2016	"$269,300 "	"$179,700 "	"$449,000 "	"$449,000 "	"$449,000 "	$0 	7/25/12	"$362,000 "	7/3/12	
23	25 MARKET ST	201/  16/  /  / 	4.31	101	Single Fam	LCD	1	2016	"$233,100 "	"$245,600 "	"$478,700 "	"$478,700 "	"$478,700 "	"$42,400 "	4/11/74			
26	26 MARKET ST	201/  19/  /  / 	1.1	1010	SINGLE FAM MDL01	LCD	1	2016	"$159,100 "	"$205,300 "	"$364,400 "	"$364,400 "	"$364,400 "	"$195,000 "	6/17/15	"$98,000 "	6/22/90	
25	30 MARKET ST	201/  18/  /  / 	0.5	1010	SINGLE FAM MDL01	RD	1	2016	"$410,600 "	"$170,500 "	"$581,100 "	"$581,100 "	"$581,100 "	"$290,000 "	12/14/00	"$30,000 "	5/17/83	
28	20 MARKET ST	201/  21/  /  / 	3.5	1090	MULTI HSES	LCD	1	2016	"$292,900 "	"$301,100 "	"$594,000 "	"$594,000 "	"$594,000 "	$0 	4/2/13	"$4,000 "	4/10/98	
101602	27 PLEASANT ST	201/  80/  0020/  / 	0	1020	CONDO	LCD	1	2016	"$223,200 "	$0 	"$223,200 "	"$223,200 "	"$223,200 "	"$140,000 "	11/19/09	"$65,000 "	8/4/99	
101622	3 PRESTON RD	402/  37/  0100/  / 	12.52	1010	SINGLE FAM MDL01	RD	1	2016	"$334,300 "	"$174,600 "	"$508,900 "	"$448,700 "	"$508,900 "	"$110,000 "	8/25/17	"$125,000 "	3/13/06	
101642	11  PRESTON RD	401/  1/  1000/  / 	3.01	1010	SINGLE FAM MDL01	RD	1	2016	"$297,600 "	"$144,800 "	"$442,400 "	"$442,400 "	"$442,400 "	"$196,000 "	11/13/03			
32	8 MARKET ST	201/  25/  /  / 	0.37	1010	SINGLE FAM MDL01	LCD	1	2016	"$131,000 "	"$146,800 "	"$277,800 "	"$277,800 "	"$277,800 "	"$248,000 "	10/29/04	"$7,000 "	7/5/57	
570	655 RIVER RD	405/  30/  2000/  / 	27.54	1013	SFR WATER  MDL-01	RD	3	2016	"$184,400 "	"$578,000 "	"$762,400 "	"$528,000 "	"$762,400 "	"$175,000 "	5/19/95	"$220,000 "	7/20/94	
571	667 RIVER RD	405/  31/  /  / 	3	1010	SINGLE FAM MDL01	RD	1	2016	"$169,100 "	"$180,000 "	"$349,100 "	"$349,100 "	"$349,100 "	"$260,000 "	2/8/21			
572	669 RIVER RD	405/  32/  /  / 	0.93	1010	SINGLE FAM MDL01	RD	1	2016	"$181,000 "	"$183,900 "	"$364,900 "	"$364,900 "	"$364,900 "	"$48,000 "	3/18/20	$100 	4/5/71	
883	108 HORTON LN	408/  45/  /  / 	50.1	1010	SINGLE FAM MDL01	RD	1	2016	"$21,300 "	"$143,600 "	"$164,900 "	"$73,000 "	"$164,900 "	$0 	7/20/79			
884	44 HORTON LN	408/  46/  /  / 	20	1010	SINGLE FAM MDL01	RD	1	2016	"$191,000 "	"$235,500 "	"$426,500 "	"$352,500 "	"$426,500 "	"$18,000 "	8/12/83	"$36,000 "	9/9/77	
100401	65 WASHBURN HILL RD	402/  15/  2000/  / 	37.66	6114	WPMR-4	RD	1	2016	$0 	"$315,200 "	"$315,200 "	"$2,500 "	"$315,200 "	$0 	5/20/05			
887	36 HORTON LN	408/  47/  1000/  / 	30.1	1010	SINGLE FAM MDL01	RD	1	2016	"$1,053,200 "	"$474,700 "	"$1,527,900 "	"$1,415,400 "	"$1,527,900 "	"$1,490,000 "	11/26/13	"$285,000 "	9/18/95	
578	765 RIVER RD	405/  38/  1000/  / 	12.58	1013	SFR WATER  MDL-01	RD	1	2016	"$881,300 "	"$1,071,800 "	"$1,953,100 "	"$1,804,500 "	"$1,953,100 "	$0 	8/25/11			
579	772 RIVER RD	405/  39/  /  / 	10	1010	SINGLE FAM MDL01	RD	1	2016	"$443,300 "	"$267,200 "	"$710,500 "	"$655,300 "	"$710,500 "	$0 	12/20/07			
580	748 RIVER RD	405/  40/  /  / 	7	1300	RES ACLNDV	RD	1	2016	$0 	"$19,300 "	"$19,300 "	"$19,300 "	"$19,300 "	$0 	2/15/89			
581	736 RIVER RD	405/  42/  1000/  / 	49.5	1060	AC LND IMP	RD	1	2016	"$169,200 "	"$567,800 "	"$737,000 "	"$415,500 "	"$737,000 "	$0 	10/17/19	"$525,000 "	3/17/98	
582	738 RIVER RD	405/  42/  2000/  / 	65	1010	SINGLE FAM MDL01	RD	1	2016	"$971,900 "	"$671,400 "	"$1,643,300 "	"$1,378,800 "	"$1,643,300 "	"$1,525,000 "	10/17/19	"$525,000 "	3/17/98	
584	122 BRECK HILL RD	405/  44/  /  / 	61.66	1010	SINGLE FAM MDL01	RD	1	2016	"$561,900 "	"$531,100 "	"$1,093,000 "	"$789,100 "	"$1,093,000 "	"$758,000 "	12/29/14	"$565,000 "	9/20/95	
591	100 BRECK HILL RD	405/  45/  1000/  / 	21.15	1300	RES ACLNDV	RD	1	2016	$0 	"$346,300 "	"$346,300 "	"$11,200 "	"$346,300 "	$0 	12/19/94			
592	92 BRECK HILL RD	405/  45/  2000/  / 	5.35	6126	WPUN-6	RD	1	2016	$0 	"$190,200 "	"$190,200 "	"$1,000 "	"$190,200 "	$0 	12/19/94			
593	80 BRECK HILL RD	405/  46/  /  / 	25	1010	SINGLE FAM MDL01	RD	1	2016	"$234,800 "	"$372,000 "	"$606,800 "	"$525,600 "	"$606,800 "	"$250,000 "	6/8/16	"$2,666 "	7/12/02	
34	4 MARKET ST	201/  27/  /  / 	0.4	1010	SINGLE FAM MDL01	LCD	1	2016	"$395,200 "	"$157,700 "	"$552,900 "	"$552,900 "	"$552,900 "	$0 	6/19/18	"$135,000 "	2/1/88	
35	1 ON THE COMMON (COMMON)	201/  28/  /  / 	1.4	9035	TOWN-PROP	LCD	1	2016	$0 	"$29,200 "	"$29,200 "	"$29,200 "	"$29,200 "	$0 				
37	16 ON THE COMMON	201/  30/  /  / 	0.78	920C	NON PROFIT  MDL-94	LCD	1	2016	"$297,500 "	"$353,000 "	"$650,500 "	"$650,500 "	"$650,500 "	"$425,000 "	11/15/17	"$447,000 "	2/4/09	
39	14 ON THE COMMON	201/  31/  1000/  / 	3.08	1040	TWO FAMILY	LCD	1	2016	"$339,700 "	"$237,000 "	"$576,700 "	"$576,700 "	"$576,700 "	"$640,000 "	9/15/20	"$440,000 "	5/20/05	
40	18 MARKET ST (BIG ROCK)	201/  31/  2000/  / 	9.99	9035	TOWN-PROP		1	2016	$0 	"$43,000 "	"$43,000 "	"$43,000 "	"$43,000 "	$0 	11/18/97			
41	12 ON THE COMMON	201/  32/  /  / 	0.65	1010	SINGLE FAM MDL01	LCD	1	2016	"$447,000 "	"$186,000 "	"$633,000 "	"$633,000 "	"$633,000 "	"$625,000 "	12/14/04	"$129,000 "	10/29/98	
42	10 ON THE COMMON	201/  33/  /  / 	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	"$269,800 "	"$218,700 "	"$488,500 "	"$488,500 "	"$488,500 "	$0 	12/7/06			
43	8 ON THE COMMON	201/  34/  /  / 	1.71	1010	SINGLE FAM MDL01	LCD	1	2016	"$137,300 "	"$208,300 "	"$345,600 "	"$345,600 "	"$345,600 "	$0 	1/13/16	"$195,000 "	7/7/04	
50	6 ON THE COMMON UNIT #1	201/  35/  0010/  / 	0	1021	CONDO NL  MDL-05	LCD	1	2016	"$167,300 "	$0 	"$167,300 "	"$167,300 "	"$167,300 "	"$102,000 "	12/21/98	"$100,000 "	11/10/94	
54	6 ON THE COMMON UNIT #5	201/  35/  0050/  / 	0	1021	CONDO NL  MDL-05	LCD	1	2016	"$152,900 "	$0 	"$152,900 "	"$152,900 "	"$152,900 "	"$142,000 "	5/4/15	"$149,000 "	12/27/02	
